item,transcript_id,corpus_name,speaker_id,age,target_child_id,media_start,media_end,target_child_name,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range
duckie,3350,Bernstein,1715,15,1714,397.909,409.73,Alice,010300,187.15545312870145,79.1723225593349,455.37960018322406,-376.2072776238891
duckie,3360,Bernstein,1725,24,1723,562.583,563.419,Cindy,020000,266.4817456442923,178.4225350468078,339.571887511146,-161.14935246433816
duckie,3365,Bernstein,1730,23,1729,178.259,182.044,Gail,011100,234.32246791522903,77.52835990552417,441.2792183638393,-363.7508584583151
duckie,3365,Bernstein,1730,23,1729,182.044,184.993,Gail,011100,266.1750333951241,198.19176251024084,411.00823714045083,-212.81647463021
duckie,3361,Bernstein,1727,17,1724,451.07,465.722,Dale,010500,330.5604665790592,81.09820318584937,504.5121448746011,-423.4139416887517
duckie,3366,Bernstein,1730,25,1729,1010.517,1011.423,Gail,020100,283.89213876095073,210.71221017309207,486.0539285114107,-275.3417183383186
duckie,3366,Bernstein,1730,25,1729,1027.49,1028.303,Gail,020100,250.05988532063773,179.2694184534859,288.79724943742406,-109.52783098393814
duckie,3366,Bernstein,1730,25,1729,1072.651,1074.114,Gail,020100,215.38537408820903,171.04356755508877,256.2160300513536,-85.17246249626481
duckie,4199,Rollins,2540,20,2539,830.421,833.786,DI,di06,281.18690051156324,119.03292236581856,473.3972919177728,-354.36436955195427
duckie,4200,Rollins,2535,9,2533,893.696,896.04,DI,di09,245.67448628100013,213.4105726685126,481.15286278673204,-267.74229011821944
duckie,4202,Rollins,2535,12,2533,629.323,632.605,DI,di12,352.4265460004088,206.73824838114365,496.9791845332714,-290.24093615212774
duckie,4202,Rollins,2535,12,2533,632.788,633.855,DI,di12,394.53478331976044,211.24808656527142,504.7554333992386,-293.5073468339672
duckie,4202,Rollins,2535,12,2533,724.903,726.273,DI,di12,322.26404353677293,172.25247775623475,473.686587090777,-301.4341093345422
duckie,4202,Rollins,2535,12,2533,726.355,727.95,DI,di12,334.77613664130774,208.17711844032402,484.0386845281882,-275.86156608786416
duckie,4202,Rollins,2535,12,2533,876.608,877.581,DI,di12,259.997738161939,109.98148024261825,499.48082600248955,-389.4993457598713
duckie,4257,Rollins,2535,12,2533,542.74,544.44,JW,jw12a,436.029020729095,372.06978330452046,477.877565971801,-105.80778266728055
duckie,4257,Rollins,2535,12,2533,737.86,740.816,JW,jw12a,377.3524424068314,113.52658140419557,492.59861765055615,-379.0720362463606
duckie,4237,Rollins,2535,9,2533,936.936,938.036,IM,im09,279.22864849197475,79.25423638276024,471.5449570028258,-392.2907206200656
duckie,4237,Rollins,2535,9,2533,938.036,939.978,IM,im09,321.17340122336657,111.62282771289888,497.6289934866203,-386.0061657737214
duckie,4309,Rollins,2535,6,2533,435.896,439.461,SW,sw06,414.69350401469154,250.9577119600027,489.73062879893587,-238.77291683893316
duckie,4312,Rollins,2535,6,2533,617.321,621.176,SX,sx06,388.212667553913,245.20789705452015,499.4045855478479,-254.19668849332774
duckie,4318,Rollins,2535,9,2533,471.365,474.803,TE,te09,153.23448021798583,75.04314382243798,182.88355309997277,-107.84040927753479
duckie,6591,Bloom,3148,26,3144,14939.09,14941.496,Peter,020213,148.7492783278585,75.40495052960912,435.2514497937459,-359.8464992641368
duckie,7873,Brent,3843,15,3842,230.031,230.558,Morgan,010304,358.1224115416065,226.6002710285448,523.9776643381889,-297.3773933096441
duckie,7873,Brent,3843,15,3842,231.781,233.315,Morgan,010304,266.0163175607623,214.7901787105109,460.0327125483664,-245.24253383785552
duckie,7865,Brent,3843,10,3842,4206.422,4208.184,Morgan,001014,353.8584068789073,241.78753911546625,416.34554222755736,-174.55800311209111
duckie,7872,Brent,3843,14,3842,2442.888,2444.276,Morgan,010129,374.31407630035807,297.10918878230325,418.08062110234636,-120.9714323200431
duckie,7872,Brent,3843,14,3842,2444.735,2445.82,Morgan,010129,360.26878896353816,297.578230423493,464.0900665630994,-166.51183613960643
duckie,7872,Brent,3843,14,3842,2446.49,2447.745,Morgan,010129,246.17287270117356,173.83669911803727,484.31915699026376,-310.4824578722265
duckie,7870,Brent,3843,13,3842,3512.442,3514.517,Morgan,010109,286.9883506473909,188.02022619034318,390.7774975473012,-202.75727135695803
duckie,7877,Brent,3847,9,3846,1802.122,1803.507,Miranda,000904,336.3368599265841,301.2299105339407,430.23512652898313,-129.00521599504242
duckie,7883,Brent,3847,13,3846,3174.755,3175.827,Miranda,010110,274.07822638336336,198.91621854406986,507.626874835953,-308.71065629188314
duckie,7883,Brent,3847,13,3846,3176.824,3177.52,Miranda,010110,292.33884744761207,239.79110953148867,328.13730379601026,-88.34619426452159
duckie,7884,Brent,3847,14,3846,1689.317,1690.38,Miranda,010124,310.4575550773463,231.57767233019618,474.4201298175708,-242.84245748737462
duckie,7881,Brent,3847,12,3846,412.839,413.452,Miranda,001120,233.0952614218819,100.20472285719087,304.69399176865215,-204.4892689114613
duckie,7884,Brent,3847,14,3846,2429.443,2430.137,Miranda,010124,273.2236426307074,239.63354467120584,391.18223227857743,-151.5486876073716
duckie,7884,Brent,3847,14,3846,3291.733,3292.863,Miranda,010124,260.86694836535275,201.49005810293437,336.21991055308234,-134.72985245014797
duckie,7885,Brent,3847,14,3846,1905.27,1905.857,Miranda,010207,317.58545836314164,292.1736674362051,390.8611616661508,-98.68749422994568
duckie,7924,Brent,3857,14,3856,961.5,962.629,Alexander,010125,281.62792420168233,163.67587519469475,479.9184092626882,-316.24253406799346
duckie,7924,Brent,3857,14,3856,963.344,963.837,Alexander,010125,utterance too short to analyze,utterance too short to analyze,utterance too short to analyze,utterance too short to analyze
duckie,7924,Brent,3857,14,3856,970.071,970.707,Alexander,010125,218.57566401568556,70.4281046803435,502.46633939550816,-432.03823471516466
duckie,7924,Brent,3857,14,3856,971.117,971.903,Alexander,010125,334.80334983885285,194.48683086533111,493.2303641698521,-298.743533304521
duckie,7924,Brent,3857,14,3856,974.024,974.544,Alexander,010125,249.37503828256203,77.91554706576852,481.80498444196667,-403.88943737619815
duckie,7924,Brent,3857,14,3856,976.109,976.782,Alexander,010125,252.28700198011143,153.98963229972833,514.0700025813424,-360.080370281614
duckie,7924,Brent,3857,14,3856,1006.259,1008.02,Alexander,010125,301.5172175563569,208.99882553996883,431.9707092344598,-222.97188369449094
duckie,7924,Brent,3857,14,3856,1015.007,1015.908,Alexander,010125,305.5866100966254,282.417871385664,382.0030431682816,-99.58517178261758
duckie,7924,Brent,3857,14,3856,1022.643,1023.286,Alexander,010125,424.632405854441,386.79503905392056,458.0725594421113,-71.27752038819074
duckie,7924,Brent,3857,14,3856,1044.371,1045.187,Alexander,010125,270.7920437858524,183.9213394801398,437.85561842947016,-253.93427894933035
duckie,7924,Brent,3857,14,3856,1051.071,1052.106,Alexander,010125,232.69869654956034,132.15120746204948,375.42364130817793,-243.27243384612845
duckie,7924,Brent,3857,14,3856,1052.677,1053.656,Alexander,010125,198.86019897731944,80.2698354747459,321.63149912236906,-241.36166364762317
duckie,7924,Brent,3857,14,3856,1097.228,1097.881,Alexander,010125,242.30383017111566,137.67128719468826,399.1452004185153,-261.473913223827
duckie,7924,Brent,3857,14,3856,2297.476,2298.056,Alexander,010125,231.9227544202247,175.4375023757092,289.2657598579092,-113.8282574822
duckie,7919,Brent,3857,10,3856,3001.619,3002.248,Alexander,001005,276.64644136062975,182.43500790436158,386.53146219130093,-204.09645428693935
duckie,7919,Brent,3857,10,3856,3175.901,3176.629,Alexander,001005,404.3709835867264,222.95006796808482,512.9207062535405,-289.9706382854557
duckie,7919,Brent,3857,10,3856,3179.279,3180.341,Alexander,001005,180.72043054426933,135.91892317198656,211.96304544676357,-76.04412227477701
duckie,7919,Brent,3857,10,3856,3181.037,3181.697,Alexander,001005,201.96856786853948,88.23257383822617,332.27047632801373,-244.03790248978754
duckie,7919,Brent,3857,10,3856,3185.572,3187.221,Alexander,001005,169.62752357681572,157.0021385270847,193.91993028088103,-36.91779175379634
duckie,7982,Brent,3867,12,3866,1254.313,1255.508,Timothy,001126,249.14152163935307,196.38876730701523,433.57165842927094,-237.1828911222557
duckie,7979,Brent,3867,10,3866,466.483,467.724,Timothy,001015,271.0694057351404,100.09926630793456,375.7498653733724,-275.65059906543786
duckie,7888,Brent,3847,15,3846,2799.19,2800.061,Miranda,010228,272.83220911289163,177.3605505752423,325.102620690403,-147.7420701151607
duckie,7888,Brent,3847,15,3846,2804.133,2805.099,Miranda,010228,293.9005285330369,260.65683801756944,387.54605154875844,-126.889213531189
duckie,7888,Brent,3847,15,3846,2806.997,2808.01,Miranda,010228,262.43226409889905,105.51904895554213,371.20031276409424,-265.6812638085521
duckie,7888,Brent,3847,15,3846,2811.211,2812.158,Miranda,010228,307.3710937162529,103.86236065115128,394.4520794755299,-290.5897188243786
duckie,7981,Brent,3867,11,3866,2744.524,2745.81,Timothy,001029,283.4800847319274,226.0128054747326,391.8275089195367,-165.81470344480408
duckie,7981,Brent,3867,11,3866,2802.895,2804.201,Timothy,001029,185.9869072544317,94.39705057461191,282.3265204599545,-187.9294698853426
duckie,8017,Brent,3879,12,3856,2570.637,2571.993,Alexander,010005,242.0500487761545,147.9338839499446,458.0532758815863,-310.11939193164164
duckie,8017,Brent,3879,12,3856,2586.877,2588.423,Alexander,010005,251.22958861179032,117.79133056097051,399.5351819458384,-281.7438513848679
duckie,8021,Brent,3879,14,3856,2003.003,2003.677,Alexander,010119,200.0086269664206,80.56357650243841,282.9449918740992,-202.38141537166075
duckie,8061,Brent,3890,15,3887,2109.65,2110.514,Maggie,010217,311.93785235588757,132.30717187331263,487.91952430358765,-355.612352430275
duckie,8061,Brent,3890,15,3887,2111.782,2112.473,Maggie,010217,237.54688185506967,128.62842565927346,500.64870722897786,-372.02028156970437
duckie,8061,Brent,3890,15,3887,2115.793,2116.531,Maggie,010217,248.85916433602492,203.33526397756057,296.4869170856212,-93.15165310806063
duckie,8061,Brent,3890,15,3887,2852.044,2852.844,Maggie,010217,186.68825761109937,81.38551012294023,225.33132826183828,-143.94581813889806
duckie,8062,Brent,3890,15,3887,3905.724,3906.231,Maggie,010228,257.35952980821503,152.53117812708734,357.1933241450768,-204.66214601798947
duckie,8062,Brent,3890,15,3887,3908.078,3908.548,Maggie,010228,utterance too short to analyze,utterance too short to analyze,utterance too short to analyze,utterance too short to analyze
duckie,8062,Brent,3890,15,3887,3909.837,3910.35,Maggie,010228,286.86430698283857,161.92641737885842,417.1667853997484,-255.24036802088997
duckie,8062,Brent,3890,15,3887,3916.314,3917.296,Maggie,010228,264.8376644983032,193.092071389149,345.9661948344877,-152.87412344533868
duckie,9078,Soderstrom,3934,8,3926,915.22,918.612,Theo,000726e,200.31043021932922,75.69016936531645,428.27847148131923,-352.58830211600275
duckie,9078,Soderstrom,3934,8,3926,918.356,920.356,Theo,000726e,204.26037247166715,85.08132169742652,475.69146846680616,-390.61014676937964
duckie,9100,Soderstrom,3934,13,3926,977.097,978.409,Theo,010017,213.15995363881834,82.1480887483885,294.6087753140183,-212.46068656562983
duckie,9102,Soderstrom,3934,13,3926,975.905,977.601,Theo,010028b,188.5638723454181,91.12883547905558,398.487370547171,-307.35853506811543
duckie,9170,Sachs,3942,32,3940,1234.538,1235.854,Naomi,020716,121.22118133703431,106.43234987829742,141.9233940174837,-35.491044139186286
duckie,9173,Sachs,3941,33,3940,1853.003,1857.523,Naomi,020909,255.37195291726294,74.99917288325187,411.38009813135574,-336.38092524810384
duckie,9173,Sachs,3941,33,3940,1857.523,1860.041,Naomi,020909,285.02968200831225,76.16179592822203,343.9739519983072,-267.81215607008517
duckie,9173,Sachs,3942,33,3940,1869.231,1870.481,Naomi,020909,358.505289284404,291.6514908700089,424.143278305338,-132.49178743532912
duckie,9267,McCune,3960,17,3959,1513.383,1518.72,Jas,010500,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9415,Weist,3989,36,3985,1392.363,1394.823,Emma,030003,149.7876075078509,75.45638942091891,358.9106305090001,-283.4542410880812
duckie,9415,Weist,3987,36,3985,1398.481,1401.275,Emma,030003,269.81004087718577,209.43249906804348,451.17129713416585,-241.73879806612237
duckie,9454,Weist,4000,31,3993,1619.895,1626.163,Jillian,020707,248.4738978011369,117.6981476530135,497.83889397292904,-380.14074631991554
duckie,9754,NewmanRatner,4238,7,4236,43.942,46.582,4452CM,4452CM-07,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9755,NewmanRatner,4243,7,4242,361.691,368.282,4592HVG,4592HVG-07,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9753,NewmanRatner,4235,7,4234,670.863,673.583,4310AM,4310AM-07,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9760,NewmanRatner,4260,7,4259,726.73,733.306,4664AM,4664AM-07,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9760,NewmanRatner,4260,7,4259,733.306,734.649,4664AM,4664AM-07,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9760,NewmanRatner,4260,7,4259,734.649,736.725,4664AM,4664AM-07,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9760,NewmanRatner,4260,7,4259,751.652,754.149,4664AM,4664AM-07,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9760,NewmanRatner,4260,7,4259,758.485,760.068,4664AM,4664AM-07,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9760,NewmanRatner,4260,7,4259,760.068,762.516,4664AM,4664AM-07,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9766,NewmanRatner,4273,7,4272,101.963,104.634,4734ES,4734ES-07,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9779,NewmanRatner,4312,7,4311,12.837,14.704,4997LM,4997LM-07,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9779,NewmanRatner,4312,7,4311,14.704,17.537,4997LM,4997LM-07,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9779,NewmanRatner,4312,7,4311,17.537,22.315,4997LM,4997LM-07,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9779,NewmanRatner,4312,7,4311,98.519,116.531,4997LM,4997LM-07,audio file missing,audio file missing,audio file missing,audio file missing
duckie,9779,NewmanRatner,4312,7,4311,116.531,118.318,4997LM,4997LM-07,audio file missing,audio file missing,audio file missing,audio file missing
