item,transcript_id,corpus_name,speaker_id,age,target_child_id,media_start,media_end,target_child_name,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range
cat,3352,Bernstein,1717,18,1716,612.243,613.45,Amelia,010600,,,,
cat,3352,Bernstein,1717,18,1716,639.781,639.99,Amelia,010600,,,,
cat,3352,Bernstein,1717,18,1716,640.013,641.29,Amelia,010600,,,,
cat,3352,Bernstein,1717,18,1716,690.933,692.234,Amelia,010600,,,,
cat,3352,Bernstein,1717,18,1716,696.158,697.342,Amelia,010600,,,,
cat,3350,Bernstein,1715,15,1714,418.166,421.305,Alice,010300,,,,
cat,3350,Bernstein,1715,15,1714,551.448,563.987,Alice,010300,,,,
cat,3353,Bernstein,1717,20,1716,73.652,76.392,Amelia,010800,,,,
cat,3353,Bernstein,1717,20,1716,76.415,78.343,Amelia,010800,,,,
cat,3353,Bernstein,1717,20,1716,105.464,106.787,Amelia,010800,,,,
cat,3353,Bernstein,1717,20,1716,530.549,532.058,Amelia,010800,,,,
cat,3353,Bernstein,1717,20,1716,743.172,744.147,Amelia,010800,,,,
cat,3353,Bernstein,1717,20,1716,883.838,884.86,Amelia,010800,,,,
cat,3353,Bernstein,1717,20,1716,886.137,887.251,Amelia,010800,,,,
cat,3353,Bernstein,1717,20,1716,888.784,891.176,Amelia,010800,,,,
cat,3360,Bernstein,1725,24,1723,188.307,189.653,Cindy,020000,,,,
cat,3360,Bernstein,1725,24,1723,189.652,190.697,Cindy,020000,,,,
cat,3360,Bernstein,1725,24,1723,190.744,191.324,Cindy,020000,,,,
cat,3359,Bernstein,1725,22,1723,963.364,966.778,Cindy,011000,,,,
cat,3364,Bernstein,1730,21,1729,272.012,273.367,Gail,010900,,,,
cat,3373,Bernstein,1737,18,1736,1437.776,1440.771,Marie,010600,,,,
cat,3852,Peters,2467,23,2335,1018.979,1023.642,Seth,011026a,,,,
cat,3852,Peters,2338,23,2335,1027.152,1029.464,Seth,011026a,,,,
cat,3852,Peters,2467,23,2335,1566.417,1569.223,Seth,011026a,,,,
cat,3854,Peters,2338,23,2335,226.777,227.808,Seth,011026b,,,,
cat,4194,Rollins,2535,9,2533,141.278,143.736,CY,cy09,,,,
cat,4194,Rollins,2535,9,2533,143.736,146.215,CY,cy09,,,,
cat,4194,Rollins,2535,9,2533,182.836,186.195,CY,cy09,,,,
cat,4194,Rollins,2535,9,2533,186.195,191.148,CY,cy09,,,,
