item,transcript_id,corpus_name,speaker_id,age,target_child_id,media_start,media_end,target_child_name,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range
bathroom,3800,Peters,2338,16,2335,745.372,746.394,Seth,010402a,,,,
bathroom,3800,Peters,2338,16,2335,787.521,788.449,Seth,010402a,,,,
bathroom,3801,Peters,2338,16,2335,96.676,97.674,Seth,010402b,,,,
bathroom,3811,Peters,2338,17,2335,268.444,270.116,Seth,010506a,,,,
bathroom,3806,Peters,2338,17,2335,821.03,821.924,Seth,010417,,,,
bathroom,3806,Peters,2338,17,2335,952.268,953.199,Seth,010417,,,,
bathroom,3806,Peters,2338,17,2335,984.613,985.797,Seth,010417,,,,
bathroom,3806,Peters,2338,17,2335,1000.603,1001.769,Seth,010417,,,,
bathroom,3805,Peters,2338,16,2335,1543.142,1545.742,Seth,010412,,,,
bathroom,3810,Peters,2338,17,2335,1008.879,1010.179,Seth,010502b,,,,
bathroom,3809,Peters,2338,17,2335,1463.921,1466.545,Seth,010502a,,,,
bathroom,3817,Peters,2338,18,2335,384.705,386.087,Seth,010516b,,,,
bathroom,3813,Peters,2338,17,2335,1356.735,1357.728,Seth,010509a,,,,
bathroom,3813,Peters,2338,17,2335,1811.976,1813.677,Seth,010509a,,,,
bathroom,3826,Peters,2338,18,2335,138.595,139.75,Seth,010614b,,,,
bathroom,3827,Peters,2338,19,2335,1099.102,1100.2,Seth,010621a,,,,
bathroom,3824,Peters,2338,18,2335,1466.969,1468.316,Seth,010607b,,,,
bathroom,3816,Peters,2338,18,2335,1454.293,1455.535,Seth,010516a,,,,
bathroom,7146,MacWhinney,3396,31,3395,474.306,481.517,Ross,020617f,,,,
bathroom,7143,MacWhinney,3396,31,3395,672.065,680.889,Ross,020617e,,,,
bathroom,7400,MacWhinney,3432,65,3429,1614.631,1616.268,Mark,070318,,,,
bathroom,8119,Nelson,3900,31,3898,366.722,368.579,Emily,020703,,,,
bathroom,8148,Braunwald,3907,17,3906,739.893,745.315,Laura,010513,,,,
bathroom,8148,Braunwald,3907,17,3906,788.808,790.619,Laura,010513,,,,
bathroom,8148,Braunwald,3907,17,3906,790.677,793.243,Laura,010513,,,,
bathroom,8147,Braunwald,3907,17,3906,793.352,795.639,Laura,010511,,,,
bathroom,8170,Braunwald,3907,19,3906,363.295,365.838,Laura,010627,,,,
bathroom,8162,Braunwald,3907,18,3906,127.908,129.162,Laura,010614b,,,,
bathroom,8162,Braunwald,3907,18,3906,129.893,132.064,Laura,010614b,,,,
bathroom,8181,Braunwald,3908,21,3906,84.053,85.922,Laura,010824,,,,
bathroom,8174,Braunwald,3909,19,3906,767.672,768.88,Laura,010708,,,,
bathroom,8201,Braunwald,3907,24,3906,1088.188,1089.245,Laura,011124,,,,
bathroom,8201,Braunwald,3909,24,3906,1089.245,1090.858,Laura,011124,,,,
bathroom,8201,Braunwald,3909,24,3906,1239.843,1242.06,Laura,011124,,,,
bathroom,8210,Braunwald,3907,25,3906,318.513,320.673,Laura,020024,,,,
bathroom,8197,Braunwald,3909,23,3906,491.993,494.338,Laura,011109,,,,
bathroom,8197,Braunwald,3908,23,3906,501.731,505.318,Laura,011109,,,,
bathroom,8218,Braunwald,3909,26,3906,225.237,227.339,Laura,020124,,,,
bathroom,8218,Braunwald,3907,26,3906,336.172,337.588,Laura,020124,,,,
bathroom,8220,Braunwald,3907,26,3906,613.574,614.595,Laura,020128,,,,
bathroom,8220,Braunwald,3907,26,3906,617.567,618.984,Laura,020128,,,,
bathroom,8238,Braunwald,3907,27,3906,614.94,616.89,Laura,020300b,,,,
bathroom,8239,Braunwald,3907,27,3906,565.995,567.818,Laura,020305,,,,
bathroom,8259,Braunwald,3907,30,3906,196.159,197.726,Laura,020604,,,,
bathroom,8266,Braunwald,3907,31,3906,543.169,547.186,Laura,020623,,,,
bathroom,8253,Braunwald,3907,29,3906,1504.159,1507.097,Laura,020424,,,,
bathroom,8255,Braunwald,3907,29,3906,2253.337,2256.634,Laura,020502,,,,
bathroom,8255,Braunwald,3908,29,3906,2259.515,2263.416,Laura,020502,,,,
bathroom,8255,Braunwald,3907,29,3906,2301.959,2306.464,Laura,020502,,,,
bathroom,8288,Braunwald,3908,40,3906,596.495,599.665,Laura,030316a,,,,
bathroom,8288,Braunwald,3908,40,3906,599.689,602.638,Laura,030316a,,,,
bathroom,8284,Braunwald,3907,38,3906,1799.608,1801.652,Laura,030125a,,,,
bathroom,8296,Braunwald,3908,42,3906,240.966,242.916,Laura,030528d,,,,
bathroom,8277,Braunwald,3908,36,3906,633.199,635.289,Laura,030008,,,,
bathroom,8277,Braunwald,3908,36,3906,640.792,644.786,Laura,030008,,,,
bathroom,8277,Braunwald,3908,36,3906,835.502,837.777,Laura,030008,,,,
bathroom,8299,Braunwald,3908,43,3906,254.324,256.867,Laura,030617,,,,
