id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type,target_child_name,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range
348530,where's daddy,where daddy,NA,NA,question,eng,3,2,194,Bernstein,pro:int n,MOT,NA,Mother,13.00026694593318,female,54.496,67.424,s,Eng-NA,2,36,1714,1713,3718,13,daddy,CDS,daddy_dad,0,other,Alice,010100,,,,
348531,daddy not here,daddy not here,NA,NA,declarative,eng,3,3,195,Bernstein,n neg adv,MOT,NA,Mother,13.00026694593318,female,67.424,68.297,s,Eng-NA,2,36,1714,1713,3718,13,daddy,CDS,daddy_dad,0,other,Alice,010100,,,,
348533,daddy's not here,daddy not here,NA,NA,declarative,eng,4,3,196,Bernstein,n neg adv,MOT,NA,Mother,13.00026694593318,female,68.297,71.856,s,Eng-NA,2,36,1714,1713,3718,13,daddy,CDS,daddy_dad,0,other,Alice,010100,,,,
348542,daddy,daddy,NA,NA,imperative_emphatic,eng,1,1,201,Bernstein,n,MOT,NA,Mother,13.00026694593318,female,98.872,102.889,s,Eng-NA,2,36,1714,1713,3718,13,daddy,CDS,daddy_dad,0,other,Alice,010100,,,,
348551,okay daddy,okay daddy,NA,NA,declarative,eng,2,2,206,Bernstein,co n,MOT,NA,Mother,13.00026694593318,female,113.614,114.443,s,Eng-NA,2,36,1714,1713,3718,13,daddy,CDS,daddy_dad,0,other,Alice,010100,,,,
348602,daddy,Daddy,NA,NA,declarative,eng,1,1,233,Bernstein,n:prop,CHI,Alice,Target_Child,13.00026694593318,female,197.167,199.057,s,Eng-NA,2,36,1713,1713,3718,13,daddy,CDS,daddy_dad,0,child,Alice,010100,,,,
348643,daddy this's a daddy,daddy this a daddy,NA,NA,question,eng,5,4,252,Bernstein,n pro:dem det:art n,MOT,NA,Mother,13.00026694593318,female,275.037,277.963,s,Eng-NA,2,36,1714,1713,3718,13,daddy,CDS,daddy_dad,0,other,Alice,010100,,,,
348648,daddy,daddy,NA,NA,imperative_emphatic,eng,1,1,254,Bernstein,n,MOT,NA,Mother,13.00026694593318,female,283.145,284.196,s,Eng-NA,2,36,1714,1713,3718,13,daddy,CDS,daddy_dad,0,other,Alice,010100,,,,
348693,oh was it daddy,oh be it daddy,NA,NA,question,eng,6,4,278,Bernstein,co cop pro:per n,MOT,NA,Mother,13.00026694593318,female,388.386,389.86,s,Eng-NA,2,36,1714,1713,3718,13,daddy,CDS,daddy_dad,0,other,Alice,010100,,,,
348826,these are daddy's,these be daddy,NA,NA,declarative,eng,5,3,346,Bernstein,pro:dem cop n,MOT,NA,Mother,13.00026694593318,female,629.983,633.574,s,Eng-NA,2,36,1714,1713,3718,13,daddy,CDS,daddy_dad,0,other,Alice,010100,,,,
349024,why don't we call daddy,why do we call daddy,NA,NA,declarative,eng,6,5,321,Bernstein,pro:int mod pro:sub n n,MOT,NA,Mother,15.000308014538286,female,98.124,99.619,s,Eng-NA,2,36,1714,1713,3719,15,daddy,CDS,daddy_dad,0,other,Alice,010300,,,,
349028,hello let's talk to daddy,hello let talk to daddy,NA,NA,declarative,eng,6,5,325,Bernstein,co v v prep n,MOT,NA,Mother,15.000308014538286,female,106.959,109.691,s,Eng-NA,2,36,1714,1713,3719,15,daddy,CDS,daddy_dad,0,other,Alice,010300,,,,
349030,tell daddy what you're doing,tell daddy what you do,NA,NA,declarative,eng,7,5,327,Bernstein,v n pro:int pro:per part,MOT,NA,Mother,15.000308014538286,female,111.768,115.878,s,Eng-NA,2,36,1714,1713,3719,15,daddy,CDS,daddy_dad,0,other,Alice,010300,,,,
356057,you want you and daddy to do it too,you want you and daddy to do it too,NA,NA,question,eng,9,9,167,Bernstein,pro:per v pro:per coord n inf v pro:per adv,MOT,NA,Mother,22.00045175465615,female,1191.308,1193.699,s,Eng-NA,2,36,1720,1719,3726,22,daddy,CDS,daddy_dad,0,other,Anne,011000,,,,
358090,that's daddy's scratchy face,that daddy scratch face,NA,NA,declarative,eng,9,4,247,Bernstein,pro:dem adj adj n,MOT,NA,Mother,22.00045175465615,female,730.823,732.634,s,Eng-NA,2,36,1723,1721,3728,22,daddy,CDS,daddy_dad,0,other,Cindy,011000,,,,
358102,does daddy have a scratchy face,do daddy have a scratch face,NA,NA,question,eng,9,6,248,Bernstein,mod n v det:art adj n,MOT,NA,Mother,22.00045175465615,female,734.004,735.537,s,Eng-NA,2,36,1723,1721,3728,22,daddy,CDS,daddy_dad,0,other,Cindy,011000,,,,
358133,does daddy,do daddy,NA,NA,question,eng,3,2,251,Bernstein,mod n,MOT,NA,Mother,22.00045175465615,female,744.151,745.869,s,Eng-NA,2,36,1723,1721,3728,22,daddy,CDS,daddy_dad,0,other,Cindy,011000,,,,
