id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type,target_child_name,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range
349134,for some of those cat and a dog and a chick,for some of those cat and a dog and a chick,NA,NA,declarative,eng,11,11,418,Bernstein,prep qn prep det:dem n coord det:art n coord det:art n,MOT,NA,Mother,15.000308014538286,female,418.166,421.305,s,Eng-NA,2,36,1714,1713,3719,15,dog,ADS,doggy_dog,1,other,Alice,010300,,,,
349158,only the blocks and the doll and the stuffed dog,only the block and the doll and the stuff dog,NA,NA,declarative,eng,12,10,430,Bernstein,adv det:art n coord det:art n coord det:art part n,MOT,NA,Mother,15.000308014538286,female,455.471,461.246,s,Eng-NA,2,36,1714,1713,3719,15,dog,ADS,doggy_dog,1,other,Alice,010300,,,,
349279,mostly dogs and cats but getting to chicks and ducks and pigs and goats and we had a thing we did with the camel and she recognizes the camel know,mostly dog and cat but get to chick and duck and pig and goat and we have a thing we do with the camel and she recognize the camel know,NA,NA,declarative,eng,40,30,451,Bernstein,adv n coord n conj part prep n coord n coord n coord n coord pro:sub v det:art n pro:sub v prep det:art n coord pro:sub v det:art n v,MOT,NA,Mother,15.000308014538286,female,551.448,563.987,s,Eng-NA,2,36,1714,1713,3719,15,dog,ADS,doggy_dog,1,other,Alice,010300,,,,
352099,where's the dog's face,where the dog face,NA,NA,question,eng,7,4,2,Bernstein,pro:int det:art adj n,MOT,NA,Mother,20.000410686051048,female,3.088,7.453,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
352116,this dog you can never find his face,this dog you can never find his face,NA,NA,declarative,eng,8,8,3,Bernstein,det:dem n pro:per mod adv v det:poss n,MOT,NA,Mother,20.000410686051048,female,7.453,12.77,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
352160,see the dog's eyes,see the dog eye,NA,NA,question,eng,7,4,6,Bernstein,v det:art adj n,MOT,NA,Mother,20.000410686051048,female,19.458,19.736,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
352199,want put the dog in there,want put the dog in there,NA,NA,question,eng,7,6,9,Bernstein,v v det:art n prep n,MOT,NA,Mother,20.000410686051048,female,28.026,28.351,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
352279,the dog yeah,the dog yeah,NA,NA,trail off,eng,3,3,14,Bernstein,det:art n co,MOT,NA,Mother,20.000410686051048,female,43.63,43.885,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
352423,there's a dog on this page,there a dog on this page,NA,NA,declarative,eng,7,6,25,Bernstein,pro:exist det:art n prep det:dem n,MOT,NA,Mother,20.000410686051048,female,68.01,69.357,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
352436,can you see the dog,can you see the dog,NA,NA,question,eng,5,5,26,Bernstein,mod pro:per v det:art n,MOT,NA,Mother,20.000410686051048,female,69.357,70.239,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
352449,no that's not a dog where's the dog,no that not a dog where the dog,NA,NA,trail off,eng,10,8,27,Bernstein,co pro:dem neg det:art n pro:rel det:art n,MOT,NA,Mother,20.000410686051048,female,70.239,73.652,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
352492,where's the dog,where the dog,NA,NA,question,eng,4,3,30,Bernstein,pro:int det:art n,MOT,NA,Mother,20.000410686051048,female,81.059,81.942,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
353040,is it a dog,be it a dog,NA,NA,question,eng,5,4,123,Bernstein,aux pro:per det:art n,MOT,NA,Mother,18.000369617445944,female,306.06,307.36,s,Eng-NA,2,36,1716,1715,3721,18,dog,ADS,doggy_dog,1,other,Amelia,010600,,,,
353051,doesn't look like a dog does it,do look like a dog do it,NA,NA,declarative,eng,10,7,124,Bernstein,mod v conj det:art n mod pro:per,MOT,NA,Mother,18.000369617445944,female,307.36,310.239,s,Eng-NA,2,36,1716,1715,3721,18,dog,ADS,doggy_dog,1,other,Amelia,010600,,,,
353143,this is little dog house,this be little dog house,NA,NA,trail off,eng,6,5,131,Bernstein,pro:dem cop adj n n,MOT,NA,Mother,18.000369617445944,female,324.078,327.793,s,Eng-NA,2,36,1716,1715,3721,18,dog,ADS,doggy_dog,1,other,Amelia,010600,,,,
353145,a dog,a dog,NA,NA,question,eng,2,2,79,Bernstein,det:art n,MOT,NA,Mother,20.000410686051048,female,215.874,216.919,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
353251,where's the dog where'd the dog where's the dog's face,where the dog face,NA,NA,question,eng,7,10,141,Bernstein,pro:int det:art adj n,MOT,NA,Mother,18.000369617445944,female,360.185,363.645,s,Eng-NA,2,36,1716,1715,3721,18,dog,ADS,doggy_dog,1,other,Amelia,010600,,,,
353418,see the dog,see the dog,NA,NA,question,eng,3,3,156,Bernstein,v det:art n,MOT,NA,Mother,18.000369617445944,female,390.301,391.903,s,Eng-NA,2,36,1716,1715,3721,18,dog,ADS,doggy_dog,1,other,Amelia,010600,,,,
353620,where's the dog,where the dog,NA,NA,question,eng,4,3,173,Bernstein,pro:int det:art n,MOT,NA,Mother,18.000369617445944,female,428.799,429.589,s,Eng-NA,2,36,1716,1715,3721,18,dog,ADS,doggy_dog,1,other,Amelia,010600,,,,
353809,where's the dog,where the dog,NA,NA,question,eng,4,3,188,Bernstein,pro:int det:art n,MOT,NA,Mother,18.000369617445944,female,477.306,478.885,s,Eng-NA,2,36,1716,1715,3721,18,dog,ADS,doggy_dog,1,other,Amelia,010600,,,,
354067,that's a dog,that a dog,NA,NA,imperative_emphatic,eng,4,3,218,Bernstein,pro:dem det:art n,MOT,NA,Mother,18.000369617445944,female,587.42,588.605,s,Eng-NA,2,36,1716,1715,3721,18,dog,ADS,doggy_dog,1,other,Amelia,010600,,,,
354073,two dogs,two dog,NA,NA,imperative_emphatic,eng,3,2,220,Bernstein,det:num n,MOT,NA,Mother,18.000369617445944,female,589.975,591.739,s,Eng-NA,2,36,1716,1715,3721,18,dog,ADS,doggy_dog,1,other,Amelia,010600,,,,
354134,there are the dogs,there be the dog,NA,NA,imperative_emphatic,eng,6,4,236,Bernstein,pro:exist cop det:art n,MOT,NA,Mother,18.000369617445944,female,629.124,630.656,s,Eng-NA,2,36,1716,1715,3721,18,dog,ADS,doggy_dog,1,other,Amelia,010600,,,,
354245,is that the dog,be that the dog,NA,NA,question,eng,5,4,214,Bernstein,cop comp det:art n,MOT,NA,Mother,20.000410686051048,female,699.797,709.131,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354249,that's the dog's house,that the dog house,NA,NA,declarative,eng,7,4,215,Bernstein,pro:dem det:art adj n,MOT,NA,Mother,20.000410686051048,female,710.246,715.261,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354257,that's the dog's house,that the dog house,NA,NA,declarative,eng,7,4,217,Bernstein,pro:dem det:art adj n,MOT,NA,Mother,20.000410686051048,female,718.814,719.371,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354297,you're take the dog outta the house,you take the dog out_of the house,NA,NA,question,eng,8,7,227,Bernstein,pro:per v det:art n prep det:art n,MOT,NA,Mother,20.000410686051048,female,746.306,751.67,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354302,okay do ya like the dog,okay do you like the dog,NA,NA,question,eng,6,6,228,Bernstein,co v pro:per v det:art n,MOT,NA,Mother,20.000410686051048,female,752.576,755.385,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354305,that's the dog's house,that the dog house,NA,NA,declarative,eng,7,4,229,Bernstein,pro:dem det:art adj n,MOT,NA,Mother,20.000410686051048,female,757.104,757.382,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354331,now open the door put the dog in think ya have ta push the dog in some more,now open the door put the dog in think you have to push the dog in some more,NA,NA,declarative,eng,19,18,236,Bernstein,adv v det:art n v det:art n prep v pro:per v inf v det:art n prep qn pro:indef,MOT,NA,Mother,20.000410686051048,female,771.57,785.896,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354394,oh dogs a hat,oh dog a hat,NA,NA,declarative,eng,5,4,252,Bernstein,co v det:art n,MOT,NA,Mother,20.000410686051048,female,830.177,833.404,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354410,that's a dog,that a dog,NA,NA,declarative,eng,4,3,307,Bernstein,pro:dem det:art n,MOT,NA,Mother,18.000369617445944,female,822.659,823.936,s,Eng-NA,2,36,1716,1715,3721,18,dog,ADS,doggy_dog,1,other,Amelia,010600,,,,
354411,is that the dog,be that the dog,NA,NA,question,eng,5,4,256,Bernstein,cop comp det:art n,MOT,NA,Mother,20.000410686051048,female,844.527,845.363,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354416,the dog in the house,the dog in the house,NA,NA,question,eng,5,5,257,Bernstein,det:art n prep det:art n,MOT,NA,Mother,20.000410686051048,female,845.363,847.801,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354421,ya wanna show the dog the book,you want show the dog the book,NA,NA,question,eng,8,7,258,Bernstein,pro:per v v det:art n det:art n,MOT,NA,Mother,20.000410686051048,female,847.801,850.912,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354427,that's a dog too huh,that a dog too huh,NA,NA,question,eng,6,5,259,Bernstein,pro:dem det:art n adv co,MOT,NA,Mother,20.000410686051048,female,851.795,859.202,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354443,the dog,the dog,NA,NA,declarative,eng,2,2,262,Bernstein,det:art n,MOT,NA,Mother,20.000410686051048,female,867.793,868.838,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354448,do ya like that dog,do you like that dog,NA,NA,question,eng,5,5,263,Bernstein,mod pro:per v det:dem n,MOT,NA,Mother,20.000410686051048,female,868.838,871.764,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354512,is that is that dog sleeping,be that dog sleep,NA,NA,question,eng,6,6,277,Bernstein,cop pro:dem v part,MOT,NA,Mother,20.000410686051048,female,897.584,905.131,s,Eng-NA,2,36,1716,1715,3722,20,dog,ADS,doggy_dog,1,other,Amelia,010800,,,,
354574,there's the dog,there the dog,NA,NA,imperative_emphatic,eng,4,3,339,Bernstein,pro:exist det:art n,MOT,NA,Mother,18.000369617445944,female,901.952,902.881,s,Eng-NA,2,36,1716,1715,3721,18,dog,ADS,doggy_dog,1,other,Amelia,010600,,,,
