id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type,target_child_name,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range
360816,good night,good night,NA,NA,declarative,eng,2,2,185,Bernstein,adj n,MOT,NA,Mother,21.0004312203536,female,1078.85,1079.477,s,Eng-NA,2,36,1725,1724,3732,21,goodnight,ADS,night night_goodnight,1,other,Dale,010900,,,,
360997,good night bunny,good night bunny,NA,NA,declarative,eng,3,3,220,Bernstein,adj n n,MOT,NA,Mother,24.000492823261258,female,717.572,718.826,s,Eng-NA,2,36,1723,1721,3731,24,goodnight,ADS,night night_goodnight,1,other,Cindy,020000,,,,
813894,good night,good night,NA,NA,declarative,eng,2,2,934,Peters,adj n,FAT,NA,Father,24.789010041273947,male,1814.754,1815.376,s,Eng-NA,2,43,2344,2341,4241,25,goodnight,ADS,night night_goodnight,1,other,Seth,020024b,,,,
922883,good night,good night,NA,NA,declarative,eng,2,2,452,Rollins,adj n,MOT,NA,Mother,12.000246411630629,NA,1153.723,1156.568,s,Eng-NA,2,47,2532,2530,4617,12,goodnight,ADS,night night_goodnight,1,other,JP,jp12,,,,
995894,good night and sweet dreams,good night and sweet dream,NA,NA,declarative,eng,6,5,333,Gleason,adj n coord n n,SAR,Sarah,Unidentified,36.1650136553112,male,731.898,734.476,s,Eng-NA,2,49,2585,2582,4927,36,goodnight,ADS,night night_goodnight,1,other,Guy,guy,,,,
1002160,good night tape recorder,good night tape record,NA,NA,declarative,eng,6,4,440,Gleason,adj n n n,FAT,NA,Father,50.98667323764348,female,1095.026,1096.756,s,Eng-NA,2,49,2615,2613,4939,51,goodnight,ADS,night night_goodnight,1,other,Theresa,theresa,,,,
1615788,good night,good night,NA,NA,declarative,eng,2,2,382,Bloom,adj n,LOI,Lois,Investigator,23.55900531838436,male,2648.532,2649.481,s,Eng-NA,2,54,3146,3142,6990,24,goodnight,ADS,night night_goodnight,1,other,Peter,011117,,,,
2008941,say good night to daddy,say good night to Daddy,NA,NA,declarative,eng,5,5,466,MacWhinney,v adj n prep n:prop,MOT,Mary,Mother,51.526725394771965,male,1333.775,1334.704,s,Eng-NA,2,62,3392,3391,7660,52,goodnight,ADS,night night_goodnight,1,other,Ross,040316d,,,,
2008953,good night,good night,NA,NA,declarative,eng,2,2,467,MacWhinney,adj n,CHI,Ross,Target_Child,51.526725394771965,male,1334.704,1335.364,s,Eng-NA,2,62,3391,3391,7660,52,goodnight,ADS,night night_goodnight,1,child,Ross,040316d,,,,
2008967,good night,good night,NA,NA,declarative,eng,2,2,468,MacWhinney,adj n,FAT,Brian,Father,51.526725394771965,male,1335.364,1335.901,s,Eng-NA,2,62,3393,3391,7660,52,goodnight,ADS,night night_goodnight,1,other,Ross,040316d,,,,
2146236,say good night cuddly_teddy,say good night Cuddly_teddy,NA,NA,imperative_emphatic,eng,4,4,427,Brent,v adj n n:prop,MOT,Brenda,Mother,11.953017515760076,female,1518.904,1520.934,s,Eng-NA,2,68,3837,3836,8271,12,goodnight,ADS,night night_goodnight,1,other,Morgan,001129,,,,
2149549,say good night cuddly_teddy,say good night Cuddly_teddy,NA,NA,imperative_emphatic,eng,4,4,774,Brent,v adj n n:prop,MOT,Brenda,Mother,11.953017515760076,female,3047.504,3049.76,s,Eng-NA,2,68,3837,3836,8271,12,goodnight,ADS,night night_goodnight,1,other,Morgan,001129,,,,
2164076,good night teddy bear,good night teddy bear,NA,NA,declarative,eng,4,4,379,Brent,adj n n n,MOT,Patricia,Mother,9.13160434505842,female,837.118,838.395,s,Eng-NA,2,68,3844,3842,8282,9,goodnight,ADS,night night_goodnight,1,other,Miranda,000904,,,,
2168615,good night moon,good night moon,NA,NA,declarative,eng,3,3,551,Brent,adj n n,MOT,Patricia,Mother,9.13160434505842,female,1212.612,1213.579,s,Eng-NA,2,68,3844,3842,8282,9,goodnight,ADS,night night_goodnight,1,other,Miranda,000904,,,,
2174295,or good night moon,or good night moon,NA,NA,question,eng,4,4,722,Brent,coord adj n n,MOT,Patricia,Mother,9.13160434505842,female,1696.758,1697.968,s,Eng-NA,2,68,3844,3842,8282,9,goodnight,ADS,night night_goodnight,1,other,Miranda,000904,,,,
2174572,you're sitting on good night moon,you sit on good night moon,NA,NA,declarative,eng,8,6,749,Brent,pro:per part prep adj n n,MOT,Patricia,Mother,9.13160434505842,female,1838.949,1840.776,s,Eng-NA,2,68,3844,3842,8282,9,goodnight,ADS,night night_goodnight,1,other,Miranda,000904,,,,
2175788,good night little whale good night,good night little whale good night,NA,NA,declarative,eng,6,6,781,Brent,adj n adj n adj n,MOT,Patricia,Mother,9.13160434505842,female,1990.905,1994.06,s,Eng-NA,2,68,3844,3842,8282,9,goodnight,ADS,night night_goodnight,1,other,Miranda,000904,,,,
