item,transcript_id,corpus_name,speaker_id,age,target_child_id,media_start,media_end,target_child_name,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range
stomach,3362,Bernstein,1727,19,1724,947.395,950.228,Dale,010700,,,,
stomach,4556,Gleason,2584,52,2582,177.521,181.445,Eddie,eddie,,,,
stomach,6603,Bloom,3147,35,3144,7525.973,7532.491,Peter,021019,,,,
stomach,6597,Bloom,3147,30,3144,7277.53,7279.509,Peter,020522,,,,
stomach,6598,Bloom,3154,31,3144,1813.364,1814.526,Peter,020713,,,,
stomach,7887,Brent,3850,9,3849,266.939,268.474,Dillon,000828,,,,
stomach,7887,Brent,3850,9,3849,271.731,273.782,Dillon,000828,,,,
stomach,7887,Brent,3850,9,3849,1167.088,1169.388,Dillon,000828,,,,
stomach,8042,Brent,3884,11,3883,422.61,424.087,Xavier,001028,,,,
stomach,8062,Brent,3890,15,3887,2090.871,2092.878,Maggie,010228,,,,
stomach,8104,Nelson,3900,25,3898,13.084,14.663,Emily,020102,,,,
stomach,8104,Nelson,3899,25,3898,35.211,38.798,Emily,020102,,,,
stomach,8106,Nelson,3899,26,3898,29.512,32.939,Emily,020127,,,,
stomach,8106,Nelson,3899,26,3898,42.681,44.993,Emily,020127,,,,
stomach,8106,Nelson,3899,26,3898,91.765,96.594,Emily,020127,,,,
stomach,8104,Nelson,3899,25,3898,1030.348,1032.809,Emily,020102,,,,
stomach,8071,Brent,3904,15,3892,1544.377,1545.873,Vas,010221,,,,
stomach,8072,Brent,3893,14,3892,3705.47,3708.077,Vas,010116,,,,
stomach,8225,Braunwald,3907,26,3906,614.283,615.409,Laura,020212b,,,,
stomach,8212,Braunwald,3908,25,3906,826.245,829.577,Laura,020113,,,,
stomach,8268,Braunwald,3907,31,3906,190.792,192.614,Laura,020624,,,,
stomach,8268,Braunwald,3907,31,3906,196.666,199.604,Laura,020624,,,,
stomach,8301,Braunwald,3908,43,3906,246.044,248.494,Laura,030618b,,,,
stomach,8295,Braunwald,3908,42,3906,870.379,874.06,Laura,030528b,,,,
stomach,8313,Braunwald,3907,43,3906,410.172,412.865,Laura,030702d,,,,
stomach,8317,Braunwald,3908,48,3906,837.577,839.957,Laura,031117,,,,
stomach,8317,Braunwald,3908,48,3906,847.829,849.175,Laura,031117,,,,
stomach,8328,Braunwald,3907,51,3906,239.044,241.819,Laura,040311a,,,,
stomach,8327,Braunwald,3907,51,3906,1093.417,1096.273,Laura,040307a,,,,
stomach,9151,Sachs,3941,26,3940,759.064,760.03,Naomi,020125,,,,
stomach,9420,Weist,3986,39,3985,476.199,483.097,Emma,030314,,,,
stomach,9417,Weist,3986,38,3985,340.36,342.487,Emma,030126,,,,
stomach,9426,Weist,3989,45,3985,1979.351,1980.583,Emma,030907,,,,
stomach,9509,Weist,4002,58,4001,1844.423,1846.85,Matt,040921,,,,
stomach,10061,NewmanRatner,4956,11,4955,868.878,872.759,5777FC,5777FC-11,,,,
stomach,10121,NewmanRatner,5050,24,5048,179.444,188.898,5196AV,5196AV-18,,,,
stomach,10154,NewmanRatner,5122,18,5120,739.33,742.485,6510LC,6510LC-18,,,,
stomach,10188,NewmanRatner,4279,24,4278,99.242,104.868,4767JC,4767JC-24,,,,
stomach,10214,NewmanRatner,5250,24,5249,630.84,635.835,5346GG,5346GG-24,,,,
stomach,10397,NewmanRatner,4516,7,4510,266.484,278.203,7013VD,7013VD-07,,,,
stomach,10401,NewmanRatner,4538,7,4535,210.79,217.014,7075MB,7075MB-07,,,,
stomach,10401,NewmanRatner,4538,7,4535,217.014,222.726,7075MB,7075MB-07,,,,
stomach,10703,NewmanRatner,5132,24,5130,303.773,309.028,6691MW,6691MW-18,,,,
stomach,10690,NewmanRatner,5106,18,5099,1030.055,1035.927,5928RL,5928RL-18,,,,
stomach,10906,Snow,5565,31,5564,2753.271,2755.986,Nathaniel,020622b,,,,
stomach,10898,Snow,5565,30,5564,5179.613,5182.005,Nathaniel,020518b,,,,
stomach,10939,Snow,5565,41,5564,2237.645,2240.005,Nathaniel,030421a,,,,
stomach,10939,Snow,5565,41,5564,2242.546,2243.196,Nathaniel,030421a,,,,
stomach,42249,Providence,22707,39,22704,975.703,980.323,Alex,030301,,,,
stomach,42313,Providence,22729,17,22728,1234.161,1237.171,Lily,010423,,,,
stomach,42309,Providence,22729,15,22728,2968.141,2975.735,Lily,010228,,,,
stomach,42309,Providence,22729,15,22728,2975.736,2979.8,Lily,010228,,,,
stomach,42303,Providence,22721,35,22720,3043.965,3050.81,Ethan,021018,,,,
stomach,42322,Providence,22729,21,22728,2711.973,2715.57,Lily,010827,,,,
stomach,42327,Providence,22729,23,22728,1944.905,1951.52,Lily,011107,,,,
stomach,42320,Providence,22729,20,22728,2229.638,2233.323,Lily,010803,,,,
stomach,42426,Providence,22744,24,22743,1740.52,1744.01,Naima,020004,,,,
stomach,42456,Providence,22744,32,22743,2481.895,2482.846,Naima,020811,,,,
stomach,42433,Providence,22745,26,22743,2462.11,2464.68,Naima,020202,,,,
stomach,42530,Providence,22766,20,22764,1584.771,1588.106,William,010718,,,,
stomach,42532,Providence,22766,20,22764,3437.486,3442.485,William,010814,,,,
stomach,42543,Providence,22766,26,22764,1108.343,1114.02,William,020209,,,,
