,id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type,parsed_gloss
0,321141, they've got a pig and a spider ,they get a pig and a spider,,,declarative,eng,9.0,7,88,Valian,pro:sub part det:art n coord det:art n,MOT,,Mother,,21.82180332245015,female,,,,Eng-NA,2,35,1704,1702,3682,22,pig,ADS,piggy_pig,1,other,(S (NP (PRP they)) (VP (VBP get) (NP (NP (DT a) (NN pig)) (CC and) (NP (DT a) (NN spider)))))
1,321159, pig and spider ,pig and spider,,,declarative,eng,3.0,3,89,Valian,n coord n,CHI,,Target_Child,,21.82180332245015,female,,,,Eng-NA,2,35,1702,1702,3682,22,pig,ADS,piggy_pig,1,child,(NP (NN pig) (CC and) (NN spider))
2,322411, what's a pig say ,what a pig say,,,question,eng,5.0,4,408,Valian,pro:int det:art n v,INV,,Investigator,,25.75617569149264,female,,,,Eng-NA,2,35,1703,1702,3679,26,pig,ADS,piggy_pig,1,other,(SBAR (WHNP (WP what)) (S (NP (DT a) (NN pig)) (VP (VBP say))))
3,322432, what's a pig say ,what a pig say,,,question,eng,5.0,4,409,Valian,pro:int det:art n v,MOT,,Mother,,25.75617569149264,female,,,,Eng-NA,2,35,1704,1702,3679,26,pig,ADS,piggy_pig,1,other,(SBAR (WHNP (WP what)) (S (NP (DT a) (NN pig)) (VP (VBP say))))
4,323992, it's a it's more like pig ,it a it more like pig,,,declarative,eng,8.0,6,319,Valian,pro:per det:art pro:per adv conj n,MOT,,Mother,,25.690465923324915,female,,,,Eng-NA,2,35,1704,1702,3685,26,pig,ADS,piggy_pig,1,other,(S (NP (PRP it)) (VP (VBP a) (NP (PRP it)) (PP (ADVP (JJR more)) (IN like) (NP (NN pig)))))
5,324012, pig ,pig,,,declarative,eng,1.0,1,320,Valian,n,CHI,,Target_Child,,25.690465923324915,female,,,,Eng-NA,2,35,1702,1702,3685,26,pig,ADS,piggy_pig,1,child,(NP (NN pig))
6,324028, he's the same color as dumbo but he's a pig ,he the same color as Dumbo but he a pig,,,declarative,eng,12.0,10,321,Valian,pro:sub det:art adj n prep n:prop conj pro:sub det:art n,MOT,,Mother,,25.690465923324915,female,,,,Eng-NA,2,35,1704,1702,3685,26,pig,ADS,piggy_pig,1,other,(S (S (NP (PRP he)) (NP (NP (DT the) (JJ same) (NN color)) (PP (IN as) (NP (NNP Dumbo))))) (CC but) (S (NP (PRP he)) (NP (DT a) (NN pig))))
7,326918, what did the big wolf say to the pigs ,what do the big wolf say to the pig,,,question,eng,11.0,9,515,Valian,pro:int mod det:art adj n co prep det:art n,MOT,,Mother,,22.493275015914083,female,,,,Eng-NA,2,35,1704,1702,3683,22,pig,ADS,piggy_pig,1,other,(SBARQ (WHNP (WP what)) (SQ (VBP do) (NP (DT the) (JJ big) (NN wolf)) (VP (VB say) (PP (IN to) (NP (DT the) (NN pig))))))
8,329998, pig pig ,pig pig,,,declarative,eng,2.0,2,708,Valian,n n,CHI,,Target_Child,,21.92036797470174,female,,,,Eng-NA,2,35,1702,1702,3678,22,pig,ADS,piggy_pig,1,child,(NP (NN pig) (NN pig))
9,330029, a pig ,a pig,,,declarative,eng,2.0,2,710,Valian,det:art n,CHI,,Target_Child,,21.92036797470174,female,,,,Eng-NA,2,35,1702,1702,3678,22,pig,ADS,piggy_pig,1,child,(NP (DT a) (NN pig))
10,330045, is that a pig ,be that a pig,,,question,eng,5.0,4,711,Valian,cop comp det:art n,MOT,,Mother,,21.92036797470174,female,,,,Eng-NA,2,35,1704,1702,3678,22,pig,ADS,piggy_pig,1,other,(S (VP (VB be) (NP (IN that) (DT a) (NN pig))))
11,334349, pig ,pig,,,declarative,eng,1.0,1,652,Valian,n,CHI,,Target_Child,,31.822008665475675,female,,,,Eng-NA,2,35,1702,1702,3691,32,pig,ADS,piggy_pig,1,child,(NP (NN pig))
12,334366, pig ,pig,,,question,eng,1.0,1,653,Valian,n,INV,,Investigator,,31.822008665475675,female,,,,Eng-NA,2,35,1703,1702,3691,32,pig,ADS,piggy_pig,1,other,(NP (NN pig))
13,334513, and this is a pig dog ,and this be a pig dog,,,declarative,eng,7.0,6,620,Valian,coord pro:dem cop det:art n n,CHI,,Target_Child,,27.26339349883981,female,,,,Eng-NA,2,35,1702,1702,3696,27,pig,ADS,piggy_pig,1,child,(S (CC and) (NP (DT this)) (VP (VB be) (NP (DT a) (NN pig) (NN dog))))
14,334525, um a pig toy ,a pig toy,,,declarative,eng,3.0,4,621,Valian,det:art n n,CHI,,Target_Child,,27.26339349883981,female,,,,Eng-NA,2,35,1702,1702,3696,27,pig,ADS,piggy_pig,1,child,(NP (DT a) (NN pig) (NN toy))
15,334542, a pig toy ,a pig toy,,,declarative,eng,3.0,3,622,Valian,det:art n n,MOT,,Mother,,27.26339349883981,female,,,,Eng-NA,2,35,1704,1702,3696,27,pig,ADS,piggy_pig,1,other,(NP (DT a) (NN pig) (NN toy))
16,334612, what a p me want a pig ,what a me want a pig,,,declarative,eng,6.0,7,671,Valian,pro:int det:art pro:obj v det:art n,CHI,,Target_Child,,31.822008665475675,female,,,,Eng-NA,2,35,1702,1702,3691,32,pig,ADS,piggy_pig,1,child,(SBAR (WHNP (WP what)) (S (NP (DT a) (PRP me)) (VP (VBP want) (NP (DT a) (NN pig)))))
17,334633, i don't have a pig ,I do have a pig,,,declarative,eng,6.0,5,672,Valian,pro:sub mod v det:art n,INV,,Investigator,,31.822008665475675,female,,,,Eng-NA,2,35,1703,1702,3691,32,pig,ADS,piggy_pig,1,other,(S (NP (PRP I)) (VP (VBP do) (VP (VB have) (NP (DT a) (NN pig)))))
18,334651, i just don't have a pig ,I just do have a pig,,,declarative,eng,7.0,6,673,Valian,pro:sub adv mod v det:art n,INV,,Investigator,,31.822008665475675,female,,,,Eng-NA,2,35,1703,1702,3691,32,pig,ADS,piggy_pig,1,other,(S (NP (PRP I)) (ADVP (RB just)) (VP (VBP do) (VP (VB have) (NP (DT a) (NN pig)))))
19,336054, is mrs piggywinkle going in the bag with a pig ,be Mrs Piggywinkle go in the bag with a pig,,,question,eng,12.0,10,1093,Valian,cop n:prop n:prop part prep det:art n prep det:art n,MOT,,Mother,,21.92036797470174,female,,,,Eng-NA,2,35,1704,1702,3678,22,pig,ADS,piggy_pig,1,other,(S (S (VP (VB be) (NP (NNP Mrs) (NNP Piggywinkle)))) (VP (VB go) (PP (IN in) (NP (DT the) (NN bag))) (PP (IN with) (NP (DT a) (NN pig)))))
20,340511, these are pigs ,these be pig,,,declarative,eng,5.0,3,532,Valian,pro:dem cop n,CHI,,Target_Child,,30.821988131173125,female,,,,Eng-NA,2,35,1702,1702,3699,31,pig,ADS,piggy_pig,1,child,(S (NP (DT these)) (VP (VBP be) (NP (NN pig))))
21,343411, that's a pig ,that a pig,,,declarative,eng,4.0,3,292,Valian,pro:dem det:art n,INV,,Investigator,,28.756237294400297,female,,,,Eng-NA,2,35,1703,1702,3702,29,pig,ADS,piggy_pig,1,other,(NP (IN that) (DT a) (NN pig))
22,343427, it's a black and white pig ,it a black and white pig,,,declarative,eng,7.0,6,293,Valian,pro:per det:art n coord adj n,INV,,Investigator,,28.756237294400297,female,,,,Eng-NA,2,35,1703,1702,3702,29,pig,ADS,piggy_pig,1,other,(S (NP (PRP it)) (NP (DT a) (ADJP (JJ black) (CC and) (JJ white)) (NN pig)))
