id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type
404055, yeah and i and i and i bumped myself that day uh uh my bathroom and my mom wasn't watching out ,yeah and I bump myself that day my and my mom be watch out,,,declarative,eng,19,21,1,PetersonMcCabe,co coord pro:sub v pro:refl det:dem n det:poss coord det:poss n aux part adv,CHI,Mary,Target_Child,Mary,48.000985646522516,female,NA,NA,NA,Eng-NA,2,38,1753,1753,3817,48,bathroom,ADL,potty_bathroom,1,child
406723, i gotta go bathroom ,I got go,,,declarative,eng,4,4,97,PetersonMcCabe,pro:sub mod v,CHI,Mary,Target_Child,Mary,48.000985646522516,female,NA,NA,NA,Eng-NA,2,38,1753,1753,3821,48,bathroom,ADL,potty_bathroom,1,child
406736, you go to the bathroom ,you go to the,,,declarative,eng,4,5,101,PetersonMcCabe,pro:per v prep det:art,INV,NA,Investigator,Mary,48.000985646522516,female,NA,NA,NA,Eng-NA,2,38,1754,1753,3821,48,bathroom,ADL,potty_bathroom,1,other
410100, bathroom too ,too,,,declarative,eng,1,2,57,PetersonMcCabe,adv,CHI,Mary,Target_Child,Mary,60.00123205815314,female,NA,NA,NA,Eng-NA,2,38,1753,1753,3834,60,bathroom,ADL,potty_bathroom,1,child
418415, well he hasta go to the bathroom ,well he have go to the,,,declarative,eng,8,7,141,PetersonMcCabe,co pro:sub mod v prep det:art,INV,NA,Investigator,Mary,66.00135526396846,female,NA,NA,NA,Eng-NA,2,38,1754,1753,3852,66,bathroom,ADL,potty_bathroom,1,other
419856, and i cut my finger here and here and i went in the bathroom and soaked it ,and I cut my finger here and here and I go in the and soak it,,,declarative,eng,19,17,207,PetersonMcCabe,coord pro:sub v det:poss n adv coord adv coord pro:sub v prep det:art coord v pro:per,CHI,Mary,Target_Child,Mary,66.00135526396846,female,NA,NA,NA,Eng-NA,2,38,1753,1753,3852,66,bathroom,ADL,potty_bathroom,1,child
419871, you went in the bathroom and you soak ,you go in the and you soak,,,self interruption question,eng,8,8,208,PetersonMcCabe,pro:per v prep det:art coord pro:per v,INV,NA,Investigator,Mary,66.00135526396846,female,NA,NA,NA,Eng-NA,2,38,1754,1753,3852,66,bathroom,ADL,potty_bathroom,1,other
421343, and my mom wouldn't let me go because she knows i always hafta go to the bathroom ,and my mom will let me go because she know I always have go to the,,,declarative,eng,21,17,283,PetersonMcCabe,coord det:poss n mod v pro:obj v conj pro:sub v pro:sub adv mod v prep det:art,CHI,Mary,Target_Child,Mary,68.00139633257356,female,NA,NA,NA,Eng-NA,2,38,1753,1753,3854,68,bathroom,ADL,potty_bathroom,1,child
421363, because i always hafta go to the bathroom me and my brother ,because I always have go to the me and my brother,,,declarative,eng,12,12,287,PetersonMcCabe,conj pro:sub adv mod v prep det:art pro:obj coord det:poss n,CHI,Mary,Target_Child,Mary,68.00139633257356,female,NA,NA,NA,Eng-NA,2,38,1753,1753,3854,68,bathroom,ADL,potty_bathroom,1,child
679869, going in the bathroom ,go in the,,,declarative,eng,4,4,24,Peters,part prep det:art,FAT,NA,Father,Seth,16.066038317008562,male,96.676,97.674,s,Eng-NA,2,43,2344,2341,4170,16,bathroom,ADL,potty_bathroom,1,other
680030, no that is the bathroom door ,no that be the door,,,declarative,eng,6,6,162,Peters,co pro:rel cop det:art n,FAT,NA,Father,Seth,16.066038317008562,male,745.372,746.394,s,Eng-NA,2,43,2344,2341,4169,16,bathroom,ADL,potty_bathroom,1,other
680058, let us wreck the bathroom ,let us wreck the,,,declarative,eng,5,5,176,Peters,v pro:obj v det:art,FAT,NA,Father,Seth,16.066038317008562,male,787.521,788.449,s,Eng-NA,2,43,2344,2341,4169,16,bathroom,ADL,potty_bathroom,1,other
681703, maybe mommy left something in the bathroom ,maybe Mommy leave something in the,,,declarative,eng,7,7,57,Peters,adv n:prop v pro:indef prep det:art,FAT,NA,Father,Seth,17.197478387646562,male,268.444,270.116,s,Eng-NA,2,43,2344,2341,4180,17,bathroom,ADL,potty_bathroom,1,other
