id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type
290449, birdie ,bird,,,declarative,eng,2,1,50,Valian,n,CHI,NA,Target_Child,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3306,25,birdie,CDS,birdie_bird,0,child
290451, a birdie ,a bird,,,declarative,eng,3,2,51,Valian,det:art n,MOT,NA,Mother,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3306,25,birdie,CDS,birdie_bird,0,other
290461, what do you think the kitty would think of the birdie ,what do you think the kitty will think of the bird,,,question,eng,13,11,54,Valian,pro:int mod pro:per v det:art n mod v prep det:art n,INV,NA,Investigator,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1706,1704,3306,25,birdie,CDS,birdie_bird,0,other
290481, oh that's nice a hug for the birdie that's nice ,oh that nice a hug for the bird that nice,,,declarative,eng,13,10,60,Valian,co pro:dem adj det:art n prep det:art n pro:dem adj,MOT,NA,Mother,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3306,25,birdie,CDS,birdie_bird,0,other
290487, do you want the birdie to talk with investigator ,do you want the bird to talk with Investigator,,,question,eng,10,9,63,Valian,mod pro:per v det:art n prep n prep n:prop,MOT,NA,Mother,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3306,25,birdie,CDS,birdie_bird,0,other
290489, what should the birdie say ,what should the bird say,,,question,eng,6,5,64,Valian,pro:int mod det:art n co,MOT,NA,Mother,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3306,25,birdie,CDS,birdie_bird,0,other
290538, what do you think the birdie would like to eat ,what do you think the bird will like to eat,,,question,eng,12,10,89,Valian,pro:int mod pro:per v det:art n mod v inf v,MOT,NA,Mother,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3306,25,birdie,CDS,birdie_bird,0,other
290542, oh we have a birdie in your poem ,oh we have a bird in your poem,,,declarative,eng,9,8,91,Valian,co pro:sub v det:art n prep det:poss n,MOT,NA,Mother,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3306,25,birdie,CDS,birdie_bird,0,other
290544, what does that birdie eat ,what do that bird eat,,,question,eng,7,5,92,Valian,pro:int mod pro:dem n v,MOT,NA,Mother,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3306,25,birdie,CDS,birdie_bird,0,other
290792, birdie inside ,bird inside,,,declarative,eng,3,2,200,Valian,n adv,CHI,NA,Target_Child,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3306,25,birdie,CDS,birdie_bird,0,child
290794, do you think we should let the birdie come inside ,do you think we should let the bird come inside,,,question,eng,12,10,201,Valian,mod pro:per v pro:sub mod v det:art n v adv,MOT,NA,Mother,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3306,25,birdie,CDS,birdie_bird,0,other
290803, yeah birdie birdie ,yeah bird bird,,,declarative,eng,5,3,206,Valian,co n n,CHI,NA,Target_Child,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3306,25,birdie,CDS,birdie_bird,0,child
290804, birdie eat ,bird eat,,,declarative,eng,3,2,207,Valian,n v,CHI,NA,Target_Child,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3306,25,birdie,CDS,birdie_bird,0,child
290806, and the birdie would eat ,and the bird will eat,,,question,eng,7,5,208,Valian,coord det:art n mod v,MOT,NA,Mother,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3306,25,birdie,CDS,birdie_bird,0,other
290811, what would you give the birdie to eat ,what will you give the bird to eat,,,question,eng,10,8,210,Valian,pro:int mod pro:per v det:art n inf v,MOT,NA,Mother,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3306,25,birdie,CDS,birdie_bird,0,other
290852, let birdie in ,let bird in,,,declarative,eng,5,3,222,Valian,v n adv,CHI,NA,Target_Child,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3306,25,birdie,CDS,birdie_bird,0,child
290856, birdie ,bird,,,trail off,eng,2,1,223,Valian,n,CHI,NA,Target_Child,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3306,25,birdie,CDS,birdie_bird,0,child
290859, you wanna let the birdie in ,you want let the bird in,,,question,eng,9,6,224,Valian,pro:per v v det:art n adv,MOT,NA,Mother,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3306,25,birdie,CDS,birdie_bird,0,other
290867, i don't think the birdie would be very happy in here ,I do think the bird will be very happy in here,,,declarative,eng,14,11,226,Valian,pro:sub mod v det:art n mod cop adv adj prep n,MOT,NA,Mother,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3306,25,birdie,CDS,birdie_bird,0,other
291102, that's what little birdies come out_of ,that what little bird come out_of,,,declarative,eng,9,6,283,Valian,pro:dem pro:int adj n v prep,INV,NA,Investigator,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1706,1704,3306,25,birdie,CDS,birdie_bird,0,other
291111, birdie ,bird,,,declarative,eng,2,1,284,Valian,n,CHI,NA,Target_Child,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3306,25,birdie,CDS,birdie_bird,0,child
291278, birdie ,bird,,,declarative,eng,2,1,302,Valian,n,CHI,NA,Target_Child,NA,25.099078009815397,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3306,25,birdie,CDS,birdie_bird,0,child
292447, what does the birdie eat ,what do the bird eat,,,question,eng,7,5,209,Valian,pro:int v det:art n v,MOT,NA,Mother,NA,25.756175691492636,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3308,26,birdie,CDS,birdie_bird,0,other
292498, child what do birdies eat ,Child what do bird eat,,,question,eng,7,5,213,Valian,n:prop pro:int mod n v,INV,NA,Investigator,NA,25.756175691492636,female,NA,NA,NA,Eng-NA,2,33,1706,1704,3308,26,birdie,CDS,birdie_bird,0,other
292618, what's the other birdie say ,what the other bird say,,,question,eng,7,5,222,Valian,pro:int det:art qn n co,MOT,NA,Mother,NA,25.756175691492636,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3308,26,birdie,CDS,birdie_bird,0,other
293141, what kind of noise do you think the birdie makes ,what kind of noise do you think the bird make,,,question,eng,12,10,209,Valian,pro:int n prep n v pro:per v det:art n v,INV,NA,Investigator,NA,25.394771966570154,female,NA,NA,NA,Eng-NA,2,33,1706,1704,3309,25,birdie,CDS,birdie_bird,0,other
294606, a birdie ,a bird,,,declarative,eng,3,2,132,Valian,det:art n,CHI,NA,Target_Child,NA,29.066305262941743,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3323,29,birdie,CDS,birdie_bird,0,child
294616, a birdie ,a bird,,,declarative,eng,3,2,133,Valian,det:art n,MOT,NA,Mother,NA,29.066305262941743,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3323,29,birdie,CDS,birdie_bird,0,other
297450, xxx birdie stand up ,bird stand up,,,declarative,eng,4,4,312,Valian,n v adv,CHI,NA,Target_Child,NA,25.690465923324915,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3316,26,birdie,CDS,birdie_bird,0,child
300333, xxx the birdie ,the bird,,,declarative,eng,3,3,459,Valian,det:art n,CHI,NA,Target_Child,NA,25.690465923324915,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3316,26,birdie,CDS,birdie_bird,0,child
301043, it's just when that birdie flew over he had some trouble huh ,it just when that bird fly over he have some trouble huh,,,question,eng,16,12,492,Valian,pro:per adj conj adv n v adv pro:sub v qn n co,MOT,NA,Mother,NA,25.690465923324915,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3316,26,birdie,CDS,birdie_bird,0,other
301068, that birdie fly over to see what was happening ,that bird fly over to see what be happen,,,question,eng,13,9,493,Valian,comp n v adv inf v pro:int aux part,MOT,NA,Mother,NA,25.690465923324915,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3316,26,birdie,CDS,birdie_bird,0,other
302889, that a birdie ,that a bird,,,declarative,eng,4,3,587,Valian,comp det:art n,CHI,NA,Target_Child,NA,25.690465923324915,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3316,26,birdie,CDS,birdie_bird,0,child
316383, xxx sounds like a birdie ,sound like a bird,,,declarative,eng,6,5,1566,Valian,n prep det:art n,MOT,NA,Mother,NA,21.92036797470174,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3310,22,birdie,CDS,birdie_bird,0,other
321158, and peas and a birdie and some carrots and some peas ,and pea and a bird and some carrot and some pea,,,declarative,eng,15,11,637,Valian,coord n coord det:art n coord qn n coord qn n,CHI,NA,Target_Child,NA,29.32914433561264,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3337,29,birdie,CDS,birdie_bird,0,child
322258, and a birdie ,and a bird,,,declarative,eng,4,3,721,Valian,coord det:art n,CHI,NA,Target_Child,NA,29.32914433561264,female,NA,NA,NA,Eng-NA,2,33,1704,1704,3337,29,birdie,CDS,birdie_bird,0,child
322351, i thought the birdie was yellow ,I think the bird be yellow,,,declarative,eng,10,6,728,Valian,pro:sub v det:art n cop n,MOT,NA,Mother,NA,29.32914433561264,female,NA,NA,NA,Eng-NA,2,33,1705,1704,3337,29,birdie,CDS,birdie_bird,0,other
328290, the birdie's on top right ,the bird on top right,,,declarative,eng,8,5,73,Bernstein,det:art adj prep n co,MOT,NA,Mother,Anne,20.000410686051048,female,386.517,387.841,s,Eng-NA,2,34,1722,1719,3356,20,birdie,CDS,birdie_bird,0,other
328426, no it's not a birdie it's a dragon ,no it not a bird it a dragon,,,imperative_emphatic,eng,11,8,82,Bernstein,co pro:per neg det:art n pro:per det:art n,MOT,NA,Mother,Anne,17.00034908314339,female,NA,NA,NA,Eng-NA,2,34,1722,1719,3354,17,birdie,CDS,birdie_bird,0,other
328943, i wonder what the birdie does to the turtle ,I wonder what the bird do to the turtle,,,imperative_emphatic,eng,11,9,214,Bernstein,pro:sub v pro:int det:art n mod prep det:art n,MOT,NA,Mother,Anne,22.000451754656154,female,1531.176,1532.801,s,Eng-NA,2,34,1722,1719,3357,22,birdie,CDS,birdie_bird,0,other
