id,gloss,stem,actual_phonology,model_phonology,type,language,num_morphemes,num_tokens,utterance_order,corpus_name,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_name,target_child_age,target_child_sex,media_start,media_end,media_unit,collection_name,collection_id,corpus_id,speaker_id,target_child_id,transcript_id,age,item,form,pair,form_numeric,speaker_type
347767, the froggie too ,the frog too,,,imperative_emphatic,eng,4,3,103,Bernstein,det:art n adv,MOT,NA,Mother,NA,24.000492823261258,NA,NA,NA,NA,Eng-NA,2,34,1721,1720,3387,24,froggy,CDS,froggy_frog,0,other
354250, they scared that bite the froggie ,they scare that bite the frog,,,declarative,eng,8,6,502,Clark,pro:sub v pro:dem v det:art n,CHI,Shem,Target_Child,Shem,27.920491180517054,male,NA,NA,NA,Eng-NA,2,35,1741,1741,3404,28,froggy,CDS,froggy_frog,0,child
354276, right he's scared that they're scared they go bite the froggie so the froggies would all go away right ,right he scare they scare they go bite the frog so the frog will all go away right,,,question,eng,26,19,503,Clark,adv pro:sub part pro:sub part pro:sub v v det:art n conj det:art n mod post v adv co,INV,Cindy,Investigator,Shem,27.920491180517054,male,NA,NA,NA,Eng-NA,2,35,1743,1741,3404,28,froggy,CDS,froggy_frog,0,other
354337, that's right but froggies don't bite though do they ,that right but frog do bite though do they,,,question,eng,13,9,507,Clark,pro:dem adj conj n mod v adv mod pro:sub,INV,Cindy,Investigator,Shem,27.920491180517054,male,NA,NA,NA,Eng-NA,2,35,1743,1741,3404,28,froggy,CDS,froggy_frog,0,other
354356, didn't be nice tuh froggie ,do be nice to frog,,,declarative,eng,8,5,508,Clark,mod cop adj prep n,CHI,Shem,Target_Child,Shem,27.920491180517054,male,NA,NA,NA,Eng-NA,2,35,1741,1741,3404,28,froggy,CDS,froggy_frog,0,child
354427, the froggies are nice ,the frog be nice,,,question,eng,7,4,512,Clark,det:art n cop adj,INV,Cindy,Investigator,Shem,27.920491180517054,male,NA,NA,NA,Eng-NA,2,35,1743,1741,3404,28,froggy,CDS,froggy_frog,0,other
354449, you have froggies outdoors don't you ,you have frog outdoors do you,,,question,eng,9,6,513,Clark,pro:per v n adv mod pro:per,INV,Cindy,Investigator,Shem,27.920491180517054,male,NA,NA,NA,Eng-NA,2,35,1743,1741,3404,28,froggy,CDS,froggy_frog,0,other
354504, my my froggies aren't home n not ,my frog be home not,,,declarative,eng,9,7,516,Clark,det:poss n cop adv neg,CHI,Shem,Target_Child,Shem,27.920491180517054,male,NA,NA,NA,Eng-NA,2,35,1741,1741,3404,28,froggy,CDS,froggy_frog,0,child
354702, oh you don't like froggies ,oh you do like frog,,,question,eng,8,5,526,Clark,co pro:per mod v n,INV,Cindy,Investigator,Shem,27.920491180517054,male,NA,NA,NA,Eng-NA,2,35,1743,1741,3404,28,froggy,CDS,froggy_frog,0,other
354735, you like the froggies ,you like the frog,,,declarative,eng,6,4,528,Clark,pro:per v det:art n,INV,Cindy,Investigator,Shem,27.920491180517054,male,NA,NA,NA,Eng-NA,2,35,1743,1741,3404,28,froggy,CDS,froggy_frog,0,other
