item,transcript_id,corpus_name,speaker_id,age,target_child_name,media_start,media_end,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range
bathroom,3800,Peters,2338,16,Seth,745.372,746.394,010402a,104.55083999737124,95.14410674782263,115.14201952867613,-19.997912780853497
bathroom,3800,Peters,2338,16,Seth,787.521,788.449,010402a,151.92296829506193,103.11716210760326,443.4791915259018,-340.36202941829856
bathroom,3801,Peters,2338,16,Seth,96.676,97.674,010402b,109.56958504822128,93.26077230285622,148.01408689982657,-54.75331459697034
bathroom,3811,Peters,2338,17,Seth,268.444,270.116,010506a,215.7837244667037,107.64127271249546,484.6234670049859,-376.9821942924905
bathroom,3806,Peters,2338,17,Seth,821.03,821.924,010417,131.22099727796703,110.63082283192972,149.58430468377438,-38.95348185184466
bathroom,3806,Peters,2338,17,Seth,952.268,953.199,010417,191.75654964050142,104.41843023585471,498.5584960068353,-394.1400657709806
bathroom,3806,Peters,2338,17,Seth,984.613,985.797,010417,180.64824265783048,102.69868329818524,220.48874645005995,-117.7900631518747
bathroom,3806,Peters,2338,17,Seth,1000.603,1001.769,010417,120.48829013772298,105.98325401159228,147.03967899992733,-41.05642498833505
bathroom,3805,Peters,2338,16,Seth,1543.142,1545.742,010412,126.71249609190541,116.6082163949143,159.64788932930892,-43.03967293439463
bathroom,3810,Peters,2338,17,Seth,1008.879,1010.179,010502b,132.7193965705399,99.82779130697595,199.0205940020071,-99.19280269503115
bathroom,3809,Peters,2338,17,Seth,1463.921,1466.545,010502a,143.23077786334406,96.7547196766089,448.51888680222214,-351.76416712561326
bathroom,3817,Peters,2338,18,Seth,384.705,386.087,010516b,160.46174391614954,138.45653123149035,225.05694385771932,-86.60041262622897
bathroom,3813,Peters,2338,17,Seth,1356.735,1357.728,010509a,195.91010151958127,107.0174397922922,361.14341147233426,-254.12597168004208
bathroom,3813,Peters,2338,17,Seth,1811.976,1813.677,010509a,186.7471632282643,152.4454902858154,470.96359374883366,-318.5181034630183
bathroom,3826,Peters,2338,18,Seth,138.595,139.75,010614b,181.93181878736917,100.55774154310491,483.1694831798082,-382.6117416367033
bathroom,3827,Peters,2338,19,Seth,1099.102,1100.2,010621a,173.21851180742,119.98210439411545,434.81493032873374,-314.8328259346183
bathroom,3824,Peters,2338,18,Seth,1466.969,1468.316,010607b,122.22132944412964,95.82474717209948,196.03200874272144,-100.20726157062197
bathroom,3816,Peters,2338,18,Seth,1454.293,1455.535,010516a,165.59665127875974,123.43329537279801,371.2310610855984,-247.7977657128004
bathroom,7146,MacWhinney,3396,31,Ross,474.306,481.517,020617f,audio file missing,audio file missing,audio file missing,audio file missing
bathroom,7143,MacWhinney,3396,31,Ross,672.065,680.889,020617e,audio file missing,audio file missing,audio file missing,audio file missing
bathroom,7400,MacWhinney,3432,65,Mark,1614.631,1616.268,070318,audio file missing,audio file missing,audio file missing,audio file missing
bathroom,8119,Nelson,3900,31,Emily,366.722,368.579,020703,310.6074778936765,71.07949450232631,493.61962769847264,-422.5401331961463
bathroom,8148,Braunwald,3907,17,Laura,739.893,745.315,010513,205.2388628738354,94.8125013927286,498.99636082302084,-404.1838594302922
bathroom,8148,Braunwald,3907,17,Laura,788.808,790.619,010513,285.4855223880988,140.05486421548312,451.69370293687825,-311.63883872139513
bathroom,8148,Braunwald,3907,17,Laura,790.677,793.243,010513,155.66354980531432,81.68029911526871,222.466020644698,-140.78572152942928
bathroom,8147,Braunwald,3907,17,Laura,793.352,795.639,010511,213.76217169002763,81.11162258736073,511.7732231426947,-430.66160055533396
bathroom,8170,Braunwald,3907,19,Laura,363.295,365.838,010627,207.05739269832668,127.82686972434469,269.36656771681214,-141.53969799246744
bathroom,8162,Braunwald,3907,18,Laura,127.908,129.162,010614b,216.77638869009198,138.74236488716514,398.6906410833588,-259.94827619619366
bathroom,8162,Braunwald,3907,18,Laura,129.893,132.064,010614b,229.851469815387,134.5332285183255,368.78540743694265,-234.25217891861715
bathroom,8181,Braunwald,3908,21,Laura,84.053,85.922,010824,285.60337361965713,258.22764640875965,351.63101735896055,-93.4033709502009
bathroom,8174,Braunwald,3909,19,Laura,767.672,768.88,010708,131.69991329936224,104.20706048328637,147.55978951571458,-43.352729032428215
bathroom,8201,Braunwald,3907,24,Laura,1088.188,1089.245,011124,183.7188994838652,78.82905952114845,294.08849764998655,-215.2594381288381
bathroom,8201,Braunwald,3909,24,Laura,1089.245,1090.858,011124,166.94203898032313,85.77074317257971,363.24368907428385,-277.4729459017041
bathroom,8201,Braunwald,3909,24,Laura,1239.843,1242.06,011124,162.58556663817694,86.4131879671515,336.84502451572877,-250.43183654857728
bathroom,8210,Braunwald,3907,25,Laura,318.513,320.673,020024,149.03455886934728,77.1422559346768,213.49449073093695,-136.35223479626015
bathroom,8197,Braunwald,3909,23,Laura,491.993,494.338,011109,166.6029733724751,113.17012383827706,372.2606064310058,-259.09048259272873
bathroom,8197,Braunwald,3908,23,Laura,501.731,505.318,011109,278.54714821875416,78.52119021894224,426.8614124515805,-348.34022223263827
bathroom,8218,Braunwald,3909,26,Laura,225.237,227.339,020124,141.42520392985347,79.24470045992062,287.03870658645,-207.79400612652938
bathroom,8218,Braunwald,3907,26,Laura,336.172,337.588,020124,172.79789515404693,136.0425510269203,277.2370605350097,-141.19450950808937
bathroom,8220,Braunwald,3907,26,Laura,613.574,614.595,020128,223.52638815009092,182.65982383297802,270.56190136081045,-87.90207752783243
bathroom,8220,Braunwald,3907,26,Laura,617.567,618.984,020128,256.0897328815885,197.77007819489643,365.7924474886227,-168.02236929372629
bathroom,8238,Braunwald,3907,27,Laura,614.94,616.89,020300b,82.24064139340773,80.50696893919601,83.61010694381119,-3.1031380046151753
bathroom,8239,Braunwald,3907,27,Laura,565.995,567.818,020305,98.58595875779297,96.7587691015813,100.41314841400464,-3.6543793124233446
bathroom,8259,Braunwald,3907,30,Laura,196.159,197.726,020604,183.28352893405386,84.79699790856922,355.73052902384353,-270.9335311152743
bathroom,8266,Braunwald,3907,31,Laura,543.169,547.186,020623,236.92074272829458,141.44147856752295,476.1428946912143,-334.70141612369133
bathroom,8253,Braunwald,3907,29,Laura,1504.159,1507.097,020424,224.75690712499429,131.2345004373542,419.32017400179666,-288.08567356444246
bathroom,8255,Braunwald,3907,29,Laura,2253.337,2256.634,020502,232.16787209108517,79.9443375883493,513.745619490397,-433.80128190204766
bathroom,8255,Braunwald,3908,29,Laura,2259.515,2263.416,020502,285.46169970676397,82.84585116696408,351.6144225151687,-268.76857134820466
bathroom,8255,Braunwald,3907,29,Laura,2301.959,2306.464,020502,295.4340578277346,115.16887731130846,436.4735315796138,-321.30465426830534
bathroom,8288,Braunwald,3908,40,Laura,596.495,599.665,030316a,361.6513905786762,109.17719991413541,523.1901212398495,-414.0129213257141
bathroom,8288,Braunwald,3908,40,Laura,599.689,602.638,030316a,276.1944427972582,93.27715884988372,492.17538620227185,-398.8982273523881
bathroom,8284,Braunwald,3907,38,Laura,1799.608,1801.652,030125a,195.21626393961657,81.82518901980359,240.35070297611344,-158.52551395630985
bathroom,8296,Braunwald,3908,42,Laura,240.966,242.916,030528d,261.11874046055345,197.4093608262706,354.7186745287969,-157.30931370252628
bathroom,8277,Braunwald,3908,36,Laura,633.199,635.289,030008,225.09342150844813,73.248684903902,355.97790450671755,-282.72921960281553
bathroom,8277,Braunwald,3908,36,Laura,640.792,644.786,030008,203.22995902690238,59.038076139533345,407.4108998377415,-348.37282369820815
bathroom,8277,Braunwald,3908,36,Laura,835.502,837.777,030008,329.8613950464718,79.44882247035335,501.4431535987127,-421.99433112835936
bathroom,8299,Braunwald,3908,43,Laura,254.324,256.867,030617,304.0679935879316,105.82795601299226,389.712909890592,-283.88495387759974
bathroom,8313,Braunwald,3907,43,Laura,399.271,401.721,030702d,359.5615175536747,221.8797813211883,528.2758541496376,-306.3960728284493
bathroom,8307,Braunwald,3907,43,Laura,960.61,963.106,030627b,362.94943296990436,221.82917770522752,529.322964229469,-307.4937865242415
bathroom,8292,Braunwald,3909,41,Laura,645.453,647.032,030423,143.95449592233172,89.22094054908992,285.57766688642954,-196.35672633733964
bathroom,8302,Braunwald,3908,43,Laura,1171.524,1175.808,030619,229.8282508556944,77.35606680791265,315.114663347515,-237.7585965396023
bathroom,8337,Braunwald,3907,56,Laura,25.029,26.236,040718d,189.6955092144774,76.9489161941931,358.36855342195855,-281.41963722776546
bathroom,8302,Braunwald,3908,43,Laura,1609.778,1613.726,030619,288.08612888920374,75.06481407663337,408.2689179494312,-333.2041038727979
bathroom,8230,Braunwald,3907,27,Laura,2220.263,2222.12,020221,209.56559909255756,175.68385284275874,224.0503307225645,-48.36647787980576
bathroom,8230,Braunwald,3907,27,Laura,2227.171,2229.76,020221,237.4331677396661,110.05049626376666,470.88864881219394,-360.8381525484273
bathroom,8329,Braunwald,3907,51,Laura,93.239,99.88,040311b,202.58281960621892,111.43896512267128,405.9596529089417,-294.5206877862704
bathroom,8330,Braunwald,3908,51,Laura,1252.019,1255.131,040311c,340.5013034379294,204.23854611537894,520.2168251285435,-315.9782790131646
bathroom,8330,Braunwald,3908,51,Laura,1357.096,1360.637,040311c,318.3794509984714,212.74709163332366,447.29582858581216,-234.5487369524885
