item,transcript_id,corpus_name,speaker_id,age,target_child_name,media_start,media_end,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range
goodnight,3360,Bernstein,1725,24,Cindy,717.572,718.826,020000,209.12323720051975,89.79203627802686,292.07143470970743,-202.2793984316806
goodnight,3363,Bernstein,1727,21,Dale,1078.85,1079.477,010900,274.99564485942363,215.05845118442272,517.3923032588544,-302.3338520744317
goodnight,3872,Peters,2338,25,Seth,1814.754,1815.376,020024b,--undefined--,--undefined--,--undefined--,--undefined--
goodnight,4248,Rollins,2535,12,NA,1153.723,1156.568,jp12,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,4558,Gleason,2589,36,Guy,731.898,734.476,guy,175.31679059851118,71.43120352326926,252.511581111915,-181.08037758864575
goodnight,4569,Gleason,2624,51,Theresa,1095.026,1096.756,theresa,128.41229177703875,118.74634193175869,144.52132676828623,-25.774984836527537
goodnight,6587,Bloom,3148,24,Peter,2648.532,2649.481,011117,239.49409685798128,87.38046745669367,325.96301981042046,-238.58255235372678
goodnight,7257,MacWhinney,3397,52,Ross,1333.775,1334.704,040316d,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,7257,MacWhinney,3396,52,Ross,1335.364,1335.901,040316d,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,7867,Brent,3843,12,Morgan,1518.904,1520.934,001129,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,7877,Brent,3847,9,Miranda,837.118,838.395,000904,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,7867,Brent,3843,12,Morgan,3047.504,3049.76,001129,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,7877,Brent,3847,9,Miranda,1212.612,1213.579,000904,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,7877,Brent,3847,9,Miranda,1696.758,1697.968,000904,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,7877,Brent,3847,9,Miranda,1838.949,1840.776,000904,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,7877,Brent,3847,9,Miranda,1990.905,1994.06,000904,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,7905,Brent,3854,10,Brooklyn,2502.543,2504.033,001010,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,7993,Brent,3870,11,Tabitha,21.218,21.696,001018,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,7993,Brent,3870,11,Tabitha,22.33,22.731,001018,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,8004,Brent,3870,15,Tabitha,3471.52,3472.299,010224,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,7998,Brent,3870,14,Tabitha,3783.082,3783.932,010120,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,7998,Brent,3870,14,Tabitha,3794.129,3795.582,010120,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,8052,Brent,3891,10,Maggie,4173.026,4173.432,001005,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,8075,Nelson,3899,20,Emily,1651.627,1655.365,010719,144.3123403610391,75.06857074247397,218.28055026491768,-143.2119795224437
goodnight,8076,Nelson,3900,21,Emily,30.425,32.902,010820,282.5733425475663,121.66050780348365,317.6000161055185,-195.93950830203482
goodnight,8060,Brent,3890,13,Maggie,4190.861,4191.871,010103,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,8083,Nelson,3901,22,Emily,28.55,30.687,011011,264.3469860674522,197.84340317692642,484.3791635851108,-286.5357604081844
goodnight,8081,Nelson,3900,22,Emily,494.013,497.566,011005,211.38607839098185,78.36910015741637,269.6689763980247,-191.29987624060834
goodnight,8081,Nelson,3899,22,Emily,523.237,524.348,011005,154.93709267668535,78.6363292495118,206.45975234801278,-127.82342309850098
goodnight,8084,Nelson,3900,22,Emily,13.4,14.34,011012,232.43577494205405,78.54313405049162,307.561170226441,-229.01803617594936
goodnight,8084,Nelson,3899,22,Emily,150.248,152.756,011012,173.23309877160926,90.62902412376238,512.0291759878039,-421.4001518640415
goodnight,8088,Nelson,3899,23,Emily,19.657,27.864,011019,274.00054536887103,61.7822079929483,528.528854680737,-466.7466466877887
goodnight,8026,Brent,3881,10,Henry,2090.517,2092.41,000924,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,8026,Brent,3881,10,Henry,2096.383,2097.24,000924,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,8086,Nelson,3900,23,Emily,990.474,991.473,011016,219.49538531195756,65.52976514041708,335.80207780861923,-270.2723126682022
goodnight,8097,Nelson,3899,24,Emily,43.366,46.266,011128,194.22819899538757,126.61104364763106,282.41716451689285,-155.8061208692618
goodnight,8097,Nelson,3899,24,Emily,51.871,55.412,011128,192.39750850942957,73.41475194345853,360.2842119884208,-286.86946004496224
goodnight,8097,Nelson,3899,24,Emily,93.725,95.373,011128,158.34154588933887,92.30268564738714,233.82340647246178,-141.52072082507465
goodnight,8026,Brent,3881,10,Henry,2911.044,2912.307,000924,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,8098,Nelson,3900,24,Emily,619.571,622.011,020003,252.25713399274994,110.47611853774438,317.4971133444267,-207.0209948066823
goodnight,8100,Nelson,3900,24,Emily,0,4.624,020013,242.6336410918787,118.13912189595793,279.04547450354744,-160.9063526075895
goodnight,8094,Nelson,3900,23,Emily,910.304,911.523,011115,296.8923249015999,268.8946159932262,349.51129962989233,-80.61668363666615
goodnight,8094,Nelson,3900,23,Emily,911.523,912.452,011115,308.2992282448291,123.35656199408879,461.747073353441,-338.3905113593522
goodnight,8094,Nelson,3899,23,Emily,1023.386,1024.118,011115,152.806403398126,105.84252122049712,280.8448617514902,-175.00234053099308
goodnight,8101,Nelson,3900,24,Emily,62.669,64.875,020015,282.5725414307246,239.1210267059825,492.5821997605733,-253.4611730545908
goodnight,8101,Nelson,3899,24,Emily,74.116,75.765,020015,174.58861542014475,131.83831112986843,255.9629767566659,-124.12466562679748
goodnight,8099,Nelson,3900,24,Emily,882.543,884.533,020007,289.1786905769933,79.17894541646515,516.1299697637669,-436.95102434730177
goodnight,8101,Nelson,3899,24,Emily,348.589,351.713,020015,187.32599628998503,70.42072707635411,423.47268996177564,-353.0519628854215
goodnight,8101,Nelson,3899,24,Emily,375.652,379.565,020015,181.59920003946954,101.74777209072649,283.5217654364509,-181.77399334572442
goodnight,8102,Nelson,3899,25,Emily,755.298,756.215,020023,121.25679430560062,84.04496033873298,145.04169512104536,-60.99673478231239
goodnight,8104,Nelson,3900,25,Emily,11.447,13.084,020102,298.7177885720692,275.35746858916525,331.1850390911324,-55.82757050196716
goodnight,8104,Nelson,3899,25,Emily,45.8,59.429,020102,159.3738043529806,80.46431694246553,410.08352391386,-329.6192069713945
goodnight,8106,Nelson,3900,26,Emily,34.713,35.828,020127,210.3452473160902,75.01441332187426,275.25519529086375,-200.2407819689895
goodnight,8104,Nelson,3900,25,Emily,453.564,455.977,020102,233.00731641575462,106.38359077218975,311.6802215623449,-205.29663079015518
goodnight,8106,Nelson,3900,26,Emily,794.842,796.328,020127,251.20994235898536,79.4061703712256,467.2326295047422,-387.8264591335166
goodnight,8104,Nelson,3900,25,Emily,1017.762,1018.991,020102,233.8550585644803,110.17101924991677,282.9473540664813,-172.77633481656454
goodnight,8106,Nelson,3900,26,Emily,1226.134,1227.083,020127,356.9721110350449,272.70481172274157,458.97920162117674,-186.27438989843517
goodnight,8106,Nelson,3899,26,Emily,1544.071,1548.158,020127,279.71212379949515,76.35576439146271,456.5587773545034,-380.2030129630407
goodnight,8107,Nelson,3900,26,Emily,851.61,852.225,020205,287.0576064579217,110.85642456821714,357.39769358905136,-246.54126902083422
goodnight,8107,Nelson,3900,26,Emily,920.198,921.521,020205,225.87348470076913,207.14229056073506,247.2722772132902,-40.12998665255515
goodnight,8108,Nelson,3899,27,Emily,806.123,809.922,020218,191.3359254308271,101.06915550474963,343.39958543972443,-242.3304299349748
goodnight,9102,Soderstrom,3934,13,Theo,1060.065,1064.001,010028b,278.17877587364666,203.18059253084672,354.61436686220446,-151.43377433135774
goodnight,9175,Sachs,3941,35,Naomi,766.765,767.215,021108,156.31525735281028,147.30602209906738,161.12835885618432,-13.822336757116943
goodnight,9063,Soderstrom,3929,10,Joseph,3225.267,3226.291,000925,375.03574550329193,224.72216973843945,523.394454307786,-298.6722845693465
goodnight,9437,Weist,3994,26,Jillian,1694.154,1695.384,020122,368.0549726732866,304.55298970364663,461.2589133834071,-156.70592367976047
goodnight,9434,Weist,3994,25,Jillian,1601.466,1606.438,020101,277.83718141486764,101.69913473904359,522.2740703949577,-420.5749356559141
goodnight,9447,Weist,3998,29,Jillian,291.38,292.593,020507,383.48597796683595,229.23801062358248,497.53080006169614,-268.2927894381137
goodnight,9449,Weist,3994,30,Jillian,1852.071,1853.551,020526,194.29584027211047,156.13290677989875,270.4685101739908,-114.33560339409206
goodnight,9454,Weist,4000,31,Jillian,1252.123,1253.586,020707,335.6722481840247,205.32084979797153,487.5675309448803,-282.2466811469087
goodnight,9768,NewmanRatner,4279,7,4767JC,339.656,345.928,4767JC,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,9768,NewmanRatner,4279,7,4767JC,435.569,443.185,4767JC,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,9763,NewmanRatner,4286,7,47081B7,510.987,513.937,4708IB,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,9763,NewmanRatner,4286,7,47081B7,517.143,520.06,4708IB,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,9763,NewmanRatner,4286,7,47081B7,526.45,529.563,4708IB,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,9783,NewmanRatner,4322,7,5066WT7,190.728,196.03,5066WT,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,9784,NewmanRatner,4325,7,5073AC,708.736,710.883,5073AC,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,9840,NewmanRatner,4491,7,6454MB7,366.853,376.81,6454MB,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,9840,NewmanRatner,4491,7,6454MB7,692.483,695.955,6454MB,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,9852,NewmanRatner,4516,7,7013VD7,414.967,432.688,7013VD,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,9857,NewmanRatner,4542,7,7099EH7,355.795,368.335,7099EH,audio file missing,audio file missing,audio file missing,audio file missing
goodnight,9857,NewmanRatner,4542,7,7099EH7,368.335,372.883,7099EH,audio file missing,audio file missing,audio file missing,audio file missing
