item,transcript_id,corpus_name,speaker_id,age,target_child_name,media_start,media_end,audio_file,pitch_mean,pitch_min,pitch_max,pitch_range
mommy,3349,Bernstein,1715,13,Alice,120.013,121.834,010100,270.0376874444413,167.07118831250426,406.88018986057347,-239.8090015480692
mommy,3349,Bernstein,1715,13,Alice,633.574,646.949,010100,313.5021667653912,117.39061469607593,488.48354722390457,-371.0929325278286
mommy,3350,Bernstein,1715,15,Alice,93.73,94.952,010300,360.5063619205571,291.4008287380804,459.2358972062427,-167.83506846816232
mommy,3351,Bernstein,1715,17,Alice,354.314,355.08,010500,270.05916489403205,116.24094023730441,319.19028453732994,-202.94934430002553
mommy,3351,Bernstein,1715,17,Alice,369.058,374.797,010500,280.79973750073583,85.73422007591269,529.0199897805387,-443.28576970462603
mommy,3357,Bernstein,1722,22,Anne,203.241,204.03,011000,195.72645860494623,169.83250140665945,269.507935315123,-99.67543390846356
mommy,3359,Bernstein,1725,22,Cindy,668.131,669.338,011000,219.8388635849114,191.63381781248577,288.2015184097822,-96.56770059729641
mommy,3359,Bernstein,1725,22,Cindy,742.247,744.151,011000,207.0017299274217,161.8151399797539,315.9072222895239,-154.09208230976998
mommy,3360,Bernstein,1725,24,Cindy,1221.946,1223.804,020000,196.02006420855653,119.36899349036067,230.11958138076054,-110.75058789039987
mommy,3359,Bernstein,1725,22,Cindy,1297.649,1302.13,011000,219.82079391142466,78.59909989491744,452.17304873020555,-373.5739488352881
mommy,3363,Bernstein,1727,21,Dale,650.294,655.356,010900,221.46004470596463,103.442507442967,486.7205518545217,-383.27804441155473
mommy,3364,Bernstein,1730,21,Gail,92.498,94.518,010900,240.365203487048,171.8229524224389,494.00791454339,-322.18496212095107
mommy,3364,Bernstein,1730,21,Gail,94.83,97.848,010900,206.14146967454727,157.8690923238821,442.69941541375437,-284.8303230898723
mommy,3365,Bernstein,1730,23,Gail,166.44,167.833,011100,349.1488348123978,312.79655977251224,426.6537249586358,-113.85716518612355
mommy,3364,Bernstein,1730,21,Gail,693.555,695.505,010900,325.39897367960725,237.39629730159857,461.7037471911734,-224.30744988957485
mommy,3364,Bernstein,1731,21,Gail,744.987,750.258,010900,284.25793205667014,105.96236501051106,415.74472283449063,-309.78235782397957
mommy,3366,Bernstein,1730,25,Gail,225.276,235.377,020100,274.4633232582361,186.6800516456633,509.93986293601273,-323.25981129034943
mommy,3366,Bernstein,1730,25,Gail,236.956,238.929,020100,186.34602127217383,78.44394583176677,495.940812493407,-417.49686666164024
mommy,3368,Bernstein,1721,16,NA,188.888,193.045,010400,audio file missing,audio file missing,audio file missing,audio file missing
mommy,3368,Bernstein,1721,16,NA,193.045,194.902,010400,audio file missing,audio file missing,audio file missing,audio file missing
mommy,3364,Bernstein,1730,21,Gail,1531.56,1534.602,010900,305.29848779487685,218.55029547438807,493.9555773301015,-275.40528185571344
mommy,3368,Bernstein,1721,16,NA,238.347,241.783,010400,audio file missing,audio file missing,audio file missing,audio file missing
mommy,3368,Bernstein,1721,16,NA,248.935,250.769,010400,audio file missing,audio file missing,audio file missing,audio file missing
mommy,3361,Bernstein,1727,17,Dale,165.485,166.855,010500,263.56094581237335,71.77244188791929,498.2367657169756,-426.4643238290563
mommy,3369,Bernstein,1733,18,Kay,100.168,104.696,010600,213.5606979588953,99.87313013115599,454.7634469501921,-354.8903168190361
mommy,3361,Bernstein,1727,17,Dale,772.623,786.184,010500,261.0927952673672,78.27893291752694,475.4257151730233,-397.14678225549636
mommy,3369,Bernstein,1733,18,Kay,350.819,355.091,010600,258.6885348699561,90.05397109718743,487.7900570452407,-397.7360859480533
mommy,3367,Bernstein,1733,13,Kay,906.298,910.06,010100,340.1148827534755,79.68839475915878,525.3723869808291,-445.68399222167034
mommy,3367,Bernstein,1733,13,Kay,950.578,952.203,010100,277.29553517139374,234.3535940603984,369.1088045652107,-134.75521050481228
mommy,3368,Bernstein,1721,16,NA,868.548,872.727,010400,audio file missing,audio file missing,audio file missing,audio file missing
mommy,3366,Bernstein,1730,25,Gail,1157.771,1158.468,020100,222.00120853609147,188.243628826595,321.18770560534443,-132.94407677874943
mommy,3368,Bernstein,1721,16,NA,959.105,966.606,010400,audio file missing,audio file missing,audio file missing,audio file missing
mommy,3367,Bernstein,1733,13,Kay,1101.297,1102.296,010100,244.06426559109687,119.56256465225049,349.8459556122097,-230.2833909599592
mommy,3367,Bernstein,1733,13,Kay,1127.396,1130.949,010100,271.280085975301,131.35876959604897,483.2851089665067,-351.92633937045775
mommy,3369,Bernstein,1733,18,Kay,582.038,589.887,010600,298.3380157192031,221.16819169819223,476.6541234380618,-255.48593173986956
mommy,3369,Bernstein,1733,18,Kay,600.404,605.35,010600,254.15037012146786,88.36390832645105,368.44407877318037,-280.0801704467293
mommy,3367,Bernstein,1733,13,Kay,1350.188,1352.673,010100,280.6964730059689,139.30071549973442,488.4542629097688,-349.1535474100343
mommy,3367,Bernstein,1733,13,Kay,1471.485,1472.252,010100,249.27971420762557,100.17822295805702,400.305810118811,-300.127587160754
mommy,3368,Bernstein,1721,16,NA,1280.116,1282.113,010400,audio file missing,audio file missing,audio file missing,audio file missing
mommy,3368,Bernstein,1721,16,NA,1286.641,1288.801,010400,audio file missing,audio file missing,audio file missing,audio file missing
mommy,3368,Bernstein,1721,16,NA,1291.006,1299.644,010400,audio file missing,audio file missing,audio file missing,audio file missing
mommy,3368,Bernstein,1721,16,NA,1334.033,1335.914,010400,audio file missing,audio file missing,audio file missing,audio file missing
mommy,3368,Bernstein,1721,16,NA,1349.521,1351.773,010400,audio file missing,audio file missing,audio file missing,audio file missing
mommy,3369,Bernstein,1733,18,Kay,1039.021,1044.524,010600,258.6920683292579,92.1555422924053,306.61045409611245,-214.45491180370715
mommy,3369,Bernstein,1733,18,Kay,1085.623,1087.759,010600,260.611274407098,163.76279327397958,444.0301735724634,-280.26738029848383
mommy,3369,Bernstein,1733,18,Kay,1097.326,1098.835,010600,253.53788925763726,76.35226894851566,382.2888585904801,-305.9365896419645
mommy,3369,Bernstein,1733,18,Kay,1101.273,1103.525,010600,227.79131082144744,75.06499978308284,295.9092498034761,-220.84425002039325
mommy,3369,Bernstein,1733,18,Kay,1147.898,1151.265,010600,229.198660073859,90.25932548014704,298.95023243468154,-208.6909069545345
